name,alternate_name,x-status,x-verification,Service Area,phones,url,description,services,email,locations,contacts,x-website rating,x-logo,legal_status,x-status_last_modified
St Paul’s Episcopal Church Alms Ministry,,Vetting In Progress,,Whatcom County,(360) 733-2890,,"Hrs. Tuesday 9-10am in room #113 Emergency financial assistance for transportation, food, utilities, and other emergency needs. ",,,St. Paul's Episcopal Church,,,,,5/4/2022 4:12pm
St. Joseph’s Catholic Church Outreach,,Vetting In Progress,,Whatcom County,(360) 384-3651,http://stjosephferndale.org/v2/ministries/,"Hrs. Th: 10am-11am Sept.-June, excluding Thanksgiving. Serves members of the Ferndale, Custer and Lummi nation communities in need of food.",,,St. Joseph's Catholic Church Outreach,,,,,5/4/2022 4:12pm
St. Vincent De Paul-Sacred Heart Church,,Vetting In Progress,,Whatcom County,(360) 734-2722,,"Hrs. T, W: 3pm - 4pm, Thursdays: 11-12.  Provides gas vouchers and emergency food vouchers. ",,,St. Vincent De Paul,,,,,5/4/2022 4:12pm
Sumas Food Bank,,Vetting In Progress,,Whatcom County,,http://sumasacchurch.weebly.com/community.html,Provides free food to people in need.,Sumas Food Bank,,,,,,,3/31/2022 2:41pm
The Whatcom Dream,,Vetting In Progress,,Whatcom County,(360) 319-3759,http://thewhatcomdream.org/,"Create poverty reducing pathways for Whatcom County residents to discover their dreams and achieve their full potential. Provides financial literacy classes. Classes meet once a week for a ten week period and cover: Values, Budgeting, Goal Setting, Banking, Debt Reduction, Credit Repair, Consumerism, Insurance, Transportation, Home Ownership, Retirement and Investing.",,,,,,,,6/13/2022 1:39pm
Violence Intervention Professionals,,Vetting In Progress,,Whatcom County,(360) 756-9929,,"Hrs. M, T, Th: 11am-8pm, W: 11am-7pm.  Provides abuse control training for men and women, ages 17 and above.  ",,,Violence Intervention Professionals,,,,,6/13/2022 1:40pm
We Care of Whatcom County,,Vetting In Progress,,Whatcom County,(360) 647-5415,,"Hrs. T-Sat: 10am-3pm  Provides clothing, furniture and household items. On your first visit, purchase your reusable bag for $7 each.  Once you own the bag, you can bring in 1-2 bags and fill for $7, 3-4 bags to fill for $10, and 5-6 bags for $15.",,,We Care of Whatcom County,,,,,6/13/2022 1:40pm
Whatcom Homeschool Association ,,Vetting In Progress,,Whatcom County,(360) 671-3689,http://www.whatcomhomeschool.org,"Monthly support meetings, 2nd Tuesday of the month at 7pm. Please call for location. ",,,Whatcom Homeschool Association,,,,,8/17/2022 1:31pm
Whatcom Kid Insider,,Vetting In Progress,,Whatcom County,,,,,,,,,,,5/4/2022 4:06pm
WorkSource Whatcom,,Vetting In Progress,,Whatcom County,(360) 676-1521,http://www.worksourcewa.com/,"Hrs. M, W-F: 8am-5pm, Tuesday: 9am-5pm. 2nd & 4th Thursday open until 7pm.  Job search, career exploration, computer use, training on resumes and cover letters, and interview preparation. Job training programs for youth, adults, and mature workers, worker retraining, Division of Vocational Rehabilitation, and information on unemployment insurance.  ",,,WorkSource Whatcom,,,,,6/13/2022 1:41pm
YWCA Transitional Housing,,Vetting In Progress,,Whatcom County,(360) 734-4820,http://www.ywcabellingham.org/,"Apply through Opportunity Council. Provides low cost housing and services to single adult women in transition, for up to 18 months. Emergency housing for up to 60 days. ",,,,,,,,6/13/2022 1:41pm
Al Boe Wheelchair Warehouse (Bellingham Lions Club),,,,Whatcom County,,http://www.bellinghamcentrallions.org/al-boe-wheelchair-warehouse/,"Hrs. M & Th: 9-11:30AM, except holidays.  Loans durable medical equipment to people in Northwest Washington. Equipment includes, low vision aids, wheelchairs, powerchairs, walkers, crutches, canes, and bedside and bathroom helpers of all kinds.  Loans are for three months, but may be extended based on need.  The warehouse runs entirely on donations.",,,Al Boe Wheelchair Warehouse,,,,,
"Al-Anon/Alateen
",,,,Whatcom County,1-800-344-2666,http://www.wa-al-anon.org/,Support for families and friends of alcoholics. For meeting times and locations please call or see website,,,,,,,,
Alternative Humane Society,,,,Whatcom County,(360) 671-7445 (leave a message),http://alternativehumanesociety.com/,Recruits and trains volunteers to work as foster homes and find good homes for dogs.  They have no shelter. Provides discount vouchers for spay and neuter services depending upon availability of funding.,,,Alternative Humane Society,,,,,
American Red Cross- Whatcom County Chapter,,,,Whatcom County,(360) 733-3290,http://www.redcross.org/mtbaker,"Hrs. M-Th: 9am-2:30p. Provides disaster and emergency assistance, CPR and First Aid classes. Provides services and serves as a communication link for the armed forces.",,,American Red Cross Whatcom County Chapter,,,,,
Animals as Natural Therapy-Windy Acres Farm,,,,Whatcom County,(360) 671-3509,http://www.animalsasnaturaltherapy.org/,"Hrs. M-F: 10a-4p. Uses horses and other animals to teach important life skills, respect for self and others, trust and clear communication.",,,Windy Acres Farm,,,,,
Art Bergh Recovery Residence ,,,,Whatcom County,Contact Steve Burger (360) 303-6334,,Men’s clean and sober living.,,,Art Bergh Recovery Residence,,,,,
Belair Clinic,,,,Whatcom County,(360) 676-4485,http://www.belairclinic.com/,Intensive inpatient and outpatient treatment for alcohol and substance abuse. Hrs. M-F: 9am-5:30pm. Saturday: ADIS (Alcohol Drug Information School) 9am-5pm. $150. Register and pre-pay online or over the phone. Also offer deferred prosecution services for DUI.,,,Belair Clinic,,,,,
"Bellingham Asthma, Allergy and Immunology Clinic",,,,Whatcom County,(360) 733-5733,http://www.belasthma.com,"Hrs. M-Th: 8:30am-5:30pm. Provides care to Whatcom County residents with the diagnosis and manag ement of asthma, chronic cough, respiratory allergies, chronic rhinitis, sinusitis, eczema, allergies, hives, recurrent infections, and immunodeficiency problems.",,,,,,,,
Bellingham Childcare and Learning Center,,,,Whatcom County,(360) 676-0950,http://www.bellinghamchildcare.com/,"Hrs, M-F 6:30am-6pm Provides ECEAP services, accredited childcare and early learning center, operating on a sliding fee scale.",,,Bellingham Childcare and Learning Center,,,,,
Bellingham Senior Activity Center,,,,Whatcom County,(360) 733-4030,http://wccoa.org/index.php/BellinghamSeniorActivityCenter/,"Hrs. M-F: 8am-4:30pm. Sat. from 9am to 1pm.  Multi-purpose drop in facility offering a variety of services, programs and activities.",,,Bellingham Senior Activity Center,,,,,
Bellingham Technical College,,,,Whatcom County,(360) 752-7000,www.btc.edu,"Professional Technical Education.  BTC offers high-quality education in a supportive, student-first environment and has been providing skills-focused education.  BTC students prepare for careers in many fields from advanced manufacturing to accounting; process technology to pastry; registered nursing to radiologic technology.",,,Bellingham Technical College,,,,,
Bellingham Vet Center,,,,Whatcom County,"after hours (877) 927-8387,(360) 733-9226",http://www.va.gov/directory/guide/facility.asp?ID=5104,"Hrs. M: 8am-4:30pm, T-F: 8am-6pm, Sat.:10am to 6pm, Sun: closed. Provides veteran information, claims assistance, mental health counseling for combat Vets. Veterans Service Officer (VSO) available to help with disability claims.",,,Bellingham Vet Center,,,,,
Birchwood Timberlake House ,,,,Whatcom County,(360) 389-5992,,Clean and sober living for men.  ,,,Birchwood Timberlake House,,,,,
Cascade Connections,,,,Whatcom County,(360) 647-9087,http://www.cascadeconnections.org,Hrs. M-F: 9am-5pm. Pre-vocational and vocational skills for persons with disabilities seeking employment opportunities.,,,Cascade Connections,,,,,
Cascade Job Corps College and Career Academy,,,,Whatcom County,,http:www.CascadesJobCorpsCCA.com ,"Hrs. M-F 8am-5pm or by appointment as center is open 24/7. Free residential training program for youth 16-21 interested in a career in healthcare or information technology. Program offers tuition free college education, free housing, healthcare and on the job training, recreational opportunities and much more for eligible students. Tours available.",,,Cascade Job Corps and Career Academy,,,,,
Command Center Inc ,,,,Whatcom County,(360) 676-1666,http://www.commandonline.com/,"Hrs. M-F: 6am-6pm, sometimes closed from 12pm-1pm for lunch. Provides long term and short term job placements.",,,Command Center Inc.,,,,,
Employment Solution Inc. ,,,,Whatcom County,(360) 734-8860,,Hrs. M-F: 7:30am-5:30pm. Stops taking application at 4pm. Temporary to permanent employment opportunities.  ,,,Employment Solution Inc.,,,,,
Evergreen Supported Living ,,,,Whatcom County,(360) 671-5898,http://evergreenhome.org/,Hrs. M-F: 8:00 am to 6:00 pm. Small non-profit organization supporting adults with developmental disabilities. ,,,Evergreen Supported Living,,,,,
"Evergreen Wellness Advocates
",,,,Whatcom County,"1-800-249-2437 (hotline),(360) 671-0703",http://ewadvocates.org/,Hrs. M-F: 9:30am-4:30pm.  Case management for individuals with chronic illness and HIV/AIDS support/free testing.,,,Evergreen Wellness Advocates,,,,,
Everson Senior Activity Center ,,,,Whatcom County,(360) 966-3144,,"Located behind city hall. Open Monday & Friday: 9am-1:30pm. Senior Activity Center. Hot lunch served at noon.  Activities like pool table, cards, music, etc. ",,,Everson Senior Activity Center,,,,,
Ferndale Senior Center,,,,Whatcom County,(360) 384-6244,,"Hrs. M-F: 8am-4pm. Sat: 9am-1pm. Senior Activity Center. Gym, zumba, strength training, bus trips, pool hall, sewing groups, carving groups, line dancing, etc. Lunch served at noon. Annual membership is $35.",,,Ferndale Senior Center,,,,,
Frank Haskell Lions Eye Clinic ,,,,Whatcom County,,http://bellinghamcentrallions.org/,"Free eye clinic for Whatcom County residents sponsored by Bellingham Central Lions. Services include eye exam, and if needed, lenses and frames. Appointments available on Thursdays between 1pm and 4pm. Must complete an application to schedule. Requirements/Applications available on website or visiting Whatcom Alliance for Health Advancement. M-F 9am-5pm at 800 E. Chestnut Lower Level, suite 2.  If eligibility requirements are met, complete an application and mail to Haskell Lions Eye Clinic, 800 E. Chestnut Suite 3-B, Bellingham WA 98225.",,,Frank Haskell Lions Eye Clinic,,,,,
Habitat For Humanity and HomeStore - Whatcom County,,,,Whatcom County,(360) 715-9170 (office) or (360)778-2036 (HomeStore),http://www.hfhwhatcom.org/,"M: Donations only 10am-5pm, T-F: 9a to 6pm and Saturday from 10am to 5pm.  Homestore benefits a program where volunteers build houses for low-income families who have been chosen on the basis of need for adequate shelter.  Selected families must contribute 500 hours of sweat  equity on the construction of the house.",,,Habitat for Humanity HomeStore Bellingham,,,,,
Helen’s House,,,,Whatcom County,Contact Steve Burger (360)303-6334,,Women’s clean and sober living.  ,,,Helen's House,,,,,
Jesus Christ Chief Cornerstone Ministries ,,,,Whatcom County,(360) 312-0232,,"Clean and sober living.  Co-ed, men and women housed separately.  Cabins only have electricity, no heat or running water.  ",,,Jesus Christ Chief Cornerstone Ministries,,,,,
Juvenile Community Justice Center ,,,,Whatcom County,(360) 676-6780 (#4 option),http://www.co.whatcom.wa.us/juvenile/,"Hrs: M-F 8am-5pm, closed 12pm-1pm.  Provides methods to identify and intervene with juveniles at risk of becoming violent and chronic offenders. ",,,Juvenile Community Justice Center,,,,,
Kulshan Pediatric Dentistry,,,,Whatcom County,(360) 424-3811,http://www.kulshanpediatricdentistry.com ,Hrs. M-F: 8am-5p. Private dental office with five pediatric dentists. Accepts state funded health insurance for children ages 0-18. ,,,Kulshan Pediatric Dentistry,,,,,
Lake Whatcom Residential and Treatment Center ,,,,Whatcom County,(360) 676-6000,http://www.lwrtc.org ,"Hrs. M-F: 8:30am-5pm. 67 bed, supervised living program for persons 18 and over with mental illness and on medicaid.  Call 1-888-693-7200 for mental health services and to determine eligibility.  If you are in crisis and need someone to talk to, call 1-800-584-3578.",,,Lake Whatcom Center,,,,,
Lynden Senior Community Center ,,,,Whatcom County,(360) 354-4501,http://www.lyndencommunitycenter.org/,Hrs. M-F: 8:00am-4:00pm. Drop-in activity center targeted for seniors. Hot meal available at noon. Volunteer opportunities available,,,Lynden Senior Community Center,,,,,
Maplewood House ,,,,Whatcom County,Contact Dan Houston (360) 778-9616,,Co-ed clean and sober housing.,,,Maplewood House,,,,,
Max Higbee Recreational Center,,,,Whatcom County,(360) 733-1828,http://www.maxhigbee.org/,"Community-based recreation programs for teens and adults 14 years and older with developmental disabilities.Hrs. Community Access Program (CAP) M-F 1:30-5:30pm; Max’s Place Weekend Drop-In Center, Fri & Sat: 5pm-9:30pm; SPIN dance every 3rd Mon of the month 6pm-8pm (@ Bellingham Senior Center); Healthy Lifestyles Program, Tuesday and Thursday, 10:00am-2:00pm ($8 a day).",,,Max Higbee Recreational Center,,,,,
Meals on Wheels/Congregate Meals ,,,,Whatcom County,(360) 746-6480,http://wccoa.org/index.php/Nutrition/mealsonwheels/,"Hrs. M-F: 8am-4:30pm  Meals delivered to seniors 60+, who are homebound, have difficulty shopping for and/or safely preparing nutritious meals, or the spouse or disabled dependent of an eligible senior.",,,Meals on Wheels,,,,,
Mount Baker Planned Parenthood Clinic ,,,,Whatcom County,(360) 734-9095,https://www.plannedparenthood.org/planned-parenthood-mt-baker,"Hrs. M & W-F: 8:30am-5:30pm, T: 9am-7pm, Sat: 8:30am-5pm. Provides women’s health care and education in areas of pregnancy, birth control,pregnancy testing, options counseling, yearly exams, HIV/AIDS and STD testing.   ",,,Mount Baker Planned Parenthood,,,,,
NAMI of Whatcom County (National Alliance on Mental Illness),,,,Whatcom County,(360) 671-4950,http://www.namiwhatcom.org,"NAMI Whatcom offers free support groups and education classes to all those affected by mentai illness including family members and friends.  
 Connections weekly support group for people living with mental illness, 1st, 3rd, and 4th Tuesday,from 6:30-8pm. Family Support Group for family members, caregivers and friends of adults and children with mental health disorders, 2nd and 4th Wed of each month from 6:30-8pm.  Suicide Survivors Support Group meets 2nd and 4th Monday of month from 6:30-8pm, Contact Roger Butler at (480)829-4325.  Depression & Bipolar support alliance, every 2nd Tuesday from 7pm-9pm.  All groups meet at 800 E. Chestnut St. Suite 1C, Bellingham, WA 98225. ",,,NAMI of Whatcom County,,,,,
Northwest Regional Council,,,,Whatcom County,"1-800-585-6749,(360) 676-6749",http://www.nwrcwa.org/,"Hrs. M-F: 8am-5pm. Implements state and federal programs for seniors and adults with disabilities who need long term, community based care.  Transportation for those on Medicaid. ",,,Northwest Regional Council,,,,,
Northwest Therapeutic Riding Center,,,,Whatcom County,(360) 966-2124,http://www.nwtrc.org,"A nonprofit Professional Association of Therapeutic Horsemanship International (PATH Intl.) center. The NWTRC currently has the capacity to serve over 60 riders per week. Participants range in age from 4-74 and include individuals with physical, cognitive, emotional, behavioral and sensory disabilities. ",,nwtrc@premier1.net ,Northwest Therapeutic Riding Center,,,,,
Northwest Youth Services ,,,,Whatcom County,(360) 734-9862,http://www.nwys.org/,"Walk-in Hrs. M-F, 10-2. Northwest Youth Services provides housing and wrap-around support services to at-risk, runaway, and homeless young people ages 13-25 in Whatcom and Skagit counties. Transitional housing program for homeless single, pregnant and parenting youth between the ages of 18-21 (18-25 in Skagit Co) and emancipated youth ages 16-17. Short term emergency housing for those 13-25 years of age., as well as emancipated youth.  Support services include vocational readiness training, teen court, and the Queer Youth Project.  Detour Street Outreach Team (360) 389-0246",,,The Ground Floor,,,,,
Oxford House Connelly,,,,Whatcom County,,http://www.oxfordhouse.org/directory_listing.php?state=WA,Clean and sober housing for men. Check website or call for current vacancy information.,,,Oxford House Connelly,,,,,
Oxford House Journey,,,,Whatcom County,(360) 306-8561,http://www.oxfordhouse.org/directory_listing.php?state=WA,Clean and sober housing for women.  Check website or call for current vacancy information. ,,,Oxford House Journey,,,,,
Oxford House View Ridge,,,,Whatcom County,(360) 393-4328,http://www.oxfordhouse.org/directory_listing.php?state=WA,Clean and sober housing for men.  Check website or call for current vacancy information. ,,,Oxford House View Ridge,,,,,
Paratransit Service-Whatcom Transportation Authority,,,,Whatcom County,(360) 733-1144,http://www.ridewta.com/specialized_transportation_details,"Hrs. M-F: 7:00am-5:00pm & Sat-Sun: 9:00am-5:00pm. WTA’s paratransit service provides curb-to-curb (and if needed, door-to-door) transportation to riders whose disability prevents them from riding our fixed route bus system.  ",,,,,,,,
RE Store,,,,Whatcom County,(360) 647-5921,http://www.re-store.org,"Hrs M-Sat 9am-6pm Sun: 10am-5pm Quality used building and home improvement materials and pick up services, salvage, and building deconstruction. Drop offs end an hour before closing. ",,,RE Store,,,,,
Redemption Place,,,,Whatcom County,(360) 739-9298,www.secondwakeup.org,Clean and sober living.  Application online.  ,,andy@redemptionplace.com ,,,,,,
ReSources,,,,Whatcom County,(360) 733-8307,http://www.re-sources.org/,"ReStore. Hrs. M-Th: 9am-5pm. Store hours; Mon-Sat 9am-6pm, Sun: 10am-5pm. We promote sustainable communities and protect the health of northwestern Washington's people and ecosystems through application of science, education, advocacy and action. Our vision is to see people living satisfying lives in accord with the ecosystem we depend on",,,ReSources,,,,,
Sean Humphrey House,,,,Whatcom County,(360) 733-0176, http://www.seanhumphreyhouse.org,Hrs. M-F: 8am- 5pm. Six units of housing for low-income people w/ HIV/AIDS.  Support services to optimize the quality of life for those who are unable to live independently. ,,,Sean Humphrey House,,,,,
Second WakeUp House,,,,Whatcom County,"or Felix: (360) 739-5900,Contact Lance: (360) 739-9298",https://secondwakeup.com,Faith-based sober living homes for men and women.  Application available online.,,,Second WakeUp House,,,,,
Skookum Kids,,,,Whatcom County,(360) 353-4781,http://www.skookumkids.org,Provides support for foster kids and families in Whatcom County.,,,Skookum Kids,,,,,
Stepping Stones Clean and Sober Housing,,,,Whatcom County,Contact Pam (360) 671-5586,,"Office hours: T, Th 11am-3pm Three Clean and Sober houses; 1 co-ed and 2 male only.  ",,,Stepping Stones Clean and Sober Housing Office,,,,,
Sumas Community Senior Center,,,,Whatcom County,,,"Hrs. M & F.: 10:00am-1:30pm, W: 5pm-8pm.  Senior activity center.  Noon meal on Mondays and Fridays, Potluck on Wednesday evenings. ",,,Sumas Community Senior Center,,,,,
Sun Community Services,,,,Whatcom County,(360) 392-1324,  ,"Post-crisis emergency housing and permanent supported housing for people with serious, chronic behavioral health issues.",,,Sun Community Services,,,,,
The Sergey Foundation,,,,Whatcom County,,http://sergeyfoundation.org/index.html,Assists households on limited income with emergency veterinary care for companion animals. Application on website.,,sergeyfoundation@yahoo.com,The Sergey Foundation,,,,,
"Veterans of Foreign Wars, Post #1585",,,,Whatcom County,,https://vfwpost1585.wordpress.com,"See web site for events calendar. The VFW Foundation’s mission is simple: support programs to increase awareness of the sacrifices of America’s veterans; promote citizenship education, volunteerism and positive youth programs; and facilitate medical, rehabilitative, educational and employment services and needs for veterans and their families.",,,Veterans of Foreign Wars Post 1585,,,,,
Welcome Valley Senior Center,,,,Whatcom County,(360) 592-5403,,"Hrs. Th: 9am-3pm. Summer hours vary, call ahead.  Senior activity center, meals served at noon.",,,Welcome Valley Senior Center,,,,,
Westcoast Counseling and Treatment Center,,,,Whatcom County,(360) 647-7577,http://www.whatcomcounseling.org/drug-and-alcohol-counseling,"Hrs. M-Th: 9am-6pm. F: 9am-2pm.  Provides outpatient substance abuse treatment service, serving criminal justice clients.",,,Westcoast Counseling and Treatment Center,,,,,
Whatcom Community College,,,,Whatcom County,(360) 383-3000,http://www.whatcom.ctc.edu,"Offers associates degrees, general studies, ESL and Adult Basic Education to prepare for GED, professional/technical areas, programs for academic and occupational success. ",,,Whatcom Community College,,,,,
Whatcom County Behavioral Health Triage Center,,,,Whatcom County,(360) 676-2020,http://www.compasshealth.org,"24 hrs. a day, seven days a week. Whatcom Community Detox, Crisis Intervention and Respite, mental health assessment & referral.",,,Whatcom County Behavioral Health Triage Center,,,,,
Whatcom County Pregnancy Clinic,,,,Whatcom County,(360) 671-9057,http://www.whatcomclinic.com/,"Hours: Monday-Friday 9:00a-5:00p. Services provided include: pregnancy tests, free STI testing, ultrasounds, EWYL parenting classes, childbirth education, free and confidential services.",,,Whatcom County Pregnancy Clinic,,,,,
Whatcom Dispute and Resolution Center,,,,Whatcom County,(360) 676-0122,http://www.whatcomdisputeresolutioncenter.org/,"Hrs. T-F: 10am-5pm Mediation services and trainings in conflict resolution working with young people and adults, families, businesses and organizations.",,,Whatcom Dispute Resolution Center,,,,,
Whatcom Family and Community Network,,,,Whatcom County,(360) 738-1196,http://www.wfcn.org,"Hrs M-F: 8am-4:30pm. Focusing on community organizing at both the neighborhood and county-wide level to build the capacity to support children, youth and families to develop skills and opportunities. ",,,Whatcom Family and Community Network,,,,,
Whatcom Hospice Foundation,,,,Whatcom County,(360) 733-5877,http://www.hospicehelp.org/,Hrs. M-F: 8:30am-5pm.  Services for people who have a prognosis of six months or less to live.  Home visits and 12-bed hospice house.  ,,,Whatcom Hospice Foundation,,,,,
Whatcom Human Rights Task Force,,,,Whatcom County,,http://www.whrtf.org/,Dedicated to promoting and protecting the rights of the human family. Operates within Whatcom Peace and Justice Center. ,,,Whatcom Human Rights Taskforce,,,,,
Whatcom Humane Society ,,,,Whatcom County,(360) 733-2080,http://www.whatcomhumane.org/index.php?outreach,"Hrs: W-Sat. 10am-6pm: Sun.-Mon. 11am-5pm at both Whatcom Humane Society locations: Division St. & Baker Creek- 1661 Baker Creek Place, Bellingham, WA 98226.   ",,,Whatcom Humane Society,,,,,
Whatcom Land Trust,,,,Whatcom County,(360) 650-9470,http://www.whatcomlandtrust.org/,Hrs. M-F: 8:30am-5pm. Preservation of unique natural and open-space land in the county.,,,Whatcom Land Trust,,,,,
Whatcom Literacy Council,,,,Whatcom County,(360) 752-8678,http://www.whatcomliteracy.org/,Hrs. M-F: 9am-5pm. Provides free basic literacy & English as a second language. ,,,,,,,,
Whatcom Self-Help Homes,,,,Whatcom County,(360) 398-0223 or 888-360-0223,http://www.whatcomskagithousing.com,Hrs. M-F: 8:30am-5pm. Provides assistance to limited income people to build their own homes. ,,,Whatcom Self-Help Homes,,,,,
"DCYF (Washington State Department of Children, Youth, and Families)",,Vetted,DCYF,Washington State,,https://www.dcyf.wa.gov,"The lead agency for state-funded services that support children and families to build resilience and health, and to improve educational outcomes. ","Child Protective Services,Child Abuse Hotline,Foster Parenting and Kinship Care,Foster Parent and Caregiver Support line,Adoption Support Program",,,,5,,,3/31/2022 9:32am
DSHS (Washington State Department of Social and Health Services),,Vetted,DSHS,Washington State,(877) 501-2233,https://www.dshs.wa.gov,Washington's social services department.,"Basic Food,Housing and Essential Needs,""Aged, Blind, or Disabled Program"",Temporary Assistance for Needy Families,Pregnant Woman Assistance Program,Refugee Cash Assistance,Office of Refugee and Immigrant Assistance,Division of Child Support,Division of Vocational Rehabilitation,Aging and Long-Term Support Administration,Developmental Disabilities Administration,Adult Protective Services",,Bellingham Community Services Office (DSHS),,5,,,3/31/2022 9:32am
"CLEAR (Coordinated Legal Education, Advice and Referral) ",,Vetting In Progress,,Washington State,,https://nwjustice.org/get-legal-help,"Hrs. M-F: 9:15am-12:15pm. NW Justice Project’s phone service for eligible low income people to obtain free legal assistance with civil legal problems. Available to all seniors.  For an online application to CLEAR, visit https://nwjustice.org/apply-online ",,,,,,,,6/13/2022 1:41pm
Washington Law Help,,Vetting In Progress,,Washington State,,http://www.washingtonlawhelp.org/,"Washington LawHelp is a guide to free civil legal services for low-income persons and seniors in Washington.  This site provides legal education materials and tools that give you basic information on a number of legal problems, and in some cases, detailed instructions and forms to help you represent yourself in court.  You can also locate information on free legal aid programs in Washington, including basic eligibility and contact information.",,,,,,,,6/13/2022 1:42pm
Washington State Domestic Violence Hotline,,Vetting In Progress,,Washington State,1-800-562-6025,https://wscadv.org/get-help-now/,Open daily from 8am-5pm.  Offers phone counseling and referrals to all state domestic violence programs. ,,,,,,,,6/13/2022 1:42pm
211-North Sound,,,,Washington State,211 or 1-800-223-8145,http://www.voaww.org/211,Hrs. M-F: 8am-5pm. Information and referral line for social services.,,,,,,,,
Alzheimer Society of Washington Support Center,,,,Washington State,(360) 671-3316,http://www.alzsociety.org,Hrs. M-F 8am-4pm. Resources for people or caregivers of people with Alzheimers or other dementia related illnesses.,,alz@alzsociety.org,Alzheimer Society of Washington Support Center,,,,,
Attorney General of Washington,,,,Washington State,(360) 676-2037,http://www.atg.wa.gov/,"Provides consumer protection for identity theft and scams, education, labor and industries, licensing, social and health services.",,,Attorney General of Washington,,,,,
Conservation Northwest ,,,,Washington State,(360) 671-9950,http://www.conservationnw.org/,"“Keeping the Northwest wild” by protecting old-growth forests and other wildlands, connect large landscapes and vital habitats, and restore native wildlife.",,,Conservation Northwest,,,,,
Dental Care for Persons with Disabilities ,,,,Washington State,(206) 543-4619,https://dental.washington.edu/patient/clinics/decod/,For people with developmental and/or acquired disabilities that need special treatments supports.  Medicaid and private insurance accepted.  Application required; Cell for more information,,,University of Washington School of Dentistry Clinic,,,,,
Department of Labor & Industries-WA ,,,,Washington State,(360) 647-7300,http://www.lni.wa.gov/,"Hrs. M-F: 8am-5pm.  Workplace safety issues, worker’s comp insurance and rights, labor and consumer protection, trades licensing, contractor registration and license look up.",,,Department of Labor and Industries,,,,,
Disability Rights Washington  ,,,,Washington State,"Please use 711 for TTY,1-800-562-2702,(206) 324-1521",http://www.disabilityrightswa.org/,"Private non-profit organization that protects the rights of people with disabilities statewide.  Our mission is to advance the dignity, equality, and self-determination of people with disabilities.  We work to pursue justice on matters related to human and legal rights.",,,Disability Rights Washington,,,,,
Family Caregiver Support Program-Northwest  Regional Council,,,,Washington State,(360) 676-6749,http://www.nwrcwa.org/family-caregiver-support-program/,"Hrs. M-F: 8am-5pm. Provides support and services for unpaid family caregivers in Island, San Juan, Skagit, and Whatcom counties. 
Island County
Camano Island: 360-387-6201
Coupeville: 360-678-4886
Oak Harbor: 360-675-0311
South Whidbey: 360-321-1600
San Juan County
Lopez, Shaw, Center, Decatur: 360-468-2421
Orcas, Blakely, Waldron: 360-376-2677
San Juan, Brown, Henry, Stuart: 360-378-2677
Skagit County: 360-428-1301
Whatcom County: 360-676-6749",,,,,,,,
Hazardous Substance Information Website,,,,Washington State,,https://ecology.wa.gov ,"Information and Education  about hazardous substances in your community, home, workplace, and school.",,,Washington State Department of Ecology,,,,,
Hearing Speech and Deafness Center ,,,,Washington State,(360) 647-0910  Videophone (360) 255-7166,http://www.hsdc.org/,"Hrs. M-F: 8:30am-5pm. Information and referral services, advocacy and educational programs related to hearing loss, disability rights",,,Hearing Speech and Deafness Center,,,,,
Lifeline Connections,,,,Washington State,(360) 922-3030,http://www.lifelineconnections.org,"Lifeline Connections offers a full complement of inpatient, outpatient and aftercare treatment, including a Medication-Assisted Recovery program for people with opioid use and/or alcohol use disorders. Our programs are designed with the needs of the individual in mind, and treatment is built on evidence-based, best-practice standards and protocols.
 

Hrs: Mon-Fri 8:30am-5:30pm l Walk-in MAT Rapid Response Clinic Mon & Wed 8:00am – 2:00pm, Tue & Thurs 8:00am – 10:00am
l Walk-in assessments Mon-Wed 12:00pm-3:30pm l",,,Lifeline Connections,,,,,
Mental Health Central Access Line ,,,,Washington State,1-888-693-7200,,Provides an initial authorization for mental health assessment and referral to clinic for diagnosis and treatment for those receiving Medicaid,,,,,,,,
Missing Persons Information Center ,,,,Washington State,1-800-543-5678 (24 hrs.),http://www.waspc.org/missing-persons-information,Missing & Unidentified Persons Unit (MUPU) assists law enforcement agencies and parents in locating missing persons. Local law enforcement must be notified before MUPU can become involved.,,,Missing Persons Information Center,,,,,
Northwest Clean Air Agency ,,,,Washington State,,http://www.nwcleanair.org/,"Hrs, M-F: 8am-4:30pm. Northwest Clean Air Agency has been the primary government agency responsible for protecting the air in Island, Skagit and Whatcom counties. We are responsible for enforcing federal, state and local air quality regulations at stationary sources of air pollution in our jurisdiction. Compiled information and tips into this online resource to help you keep your indoor air clean and healthy.",,,Northwest Clean Air Agency,,,,,
Northwest Immigrant Rights Project,,,,Washington State,(206) 587-4009 or 1-800-445-5771,http://www.nwirp.org,Hrs. M-F 9:30am-12pm and 1pm-4:30pm. Provides comprehensive immigration legal services and community education to advance the human rights and well-being of low-income immigrants and refugees. ,,,,,,,,
Office of Mobile and Manufactured Housing,,,,Washington State,1-800-964-0852,http://www.commerce.wa.gov/building-infrastructure/housing/mobile-home-relocation-assistance/,Provides information on mobile and manufactured home relocation assistance and laws associated with mobile home relocation and parks in Washington State.,,,Office of Mobile and Manufactured Homes,,,,,
