name,organizations,organization_id,alternate_name,description,locations,location_id,url,email,phones,contacts,taxonomy,taxonomy_term_id,address,id,status,application_process,interpretation_services,wait_time,fees,accreditations,licenses,schedule,x-details,y-org status,programs
Emergency Child Care Voucher,Opportunity Council,recDx6bdruXoWzLPy,,Provides short-term emergency assistance to help families pay for high-quality child care in a licensed child care center or licensed family home.,Opportunity Council Early Learning and Family Services,recr9zO51MLCurR5R,https://www.ccanorthwest.org/assistance/,,(360) 734-8396 ext. 1227,,"Childcare,Help Pay for Childcare,Children,Families","recNHN96Flxd18XRt, recW6p3Z19RNemT4K, recH2S9jjAnFPldly, recOs8jW9d2WJDhsu",1111 Cornwall Ave,recVUWypipwF8GsoU,,,,,,,,,,Vetted,
Kinship Care,Opportunity Council,recDx6bdruXoWzLPy,,"Offers support services for grandparents or other non-parental caregivers of children in their custody in Whatcom, Island and San Juan County.",Opportunity Council Community Resource Center,recTrJGLa6PeBNJOh,https://www.oppco.org/basic-needs/,,(360) 734-5121 ext. 1455,,"Adoption & Foster Care,Adoption & Foster Parenting,Post-Adoption Support,Families,Guardianship","rec3OblwwM1LIhz0a, recj5Q4dhvmHnzEbF, receCFKXkaUtNuNLc, recOs8jW9d2WJDhsu, recsBi3BSRulWAewJ",1111 Cornwall Ave.,rec3Mxgz3o6eg79Uk,,,,,,,,,,Vetted,
Opportunity Council Community Resource Center,Opportunity Council,recDx6bdruXoWzLPy,CRC,"Connects people with community resources to help meet basic needs such as food and housing, including referrals for housing and rental assistance.",Opportunity Council Community Resource Center,recTrJGLa6PeBNJOh,https://www.oppco.org/basic-needs/,,(360) 734-5121 option 3,,"Community Support Services,Navigating the System,Housing,Help Find Housing,Homeless,Near Homeless,Food Benefits,Government Food Benefits","recwQuL3cKTIDX0Ib, recjW3uPkRdSkwZwb, recCKTPd4gJzUTY28, recb6fXM65HersYLt, rec7wvcVfmMf7RwS7, rec2cxjnl0Pw6JmTi, recLDXNT9zWcqPFj1, recqJMdurXascAmeG",1111 Cornwall Ave.,recXb1NEhx3Qe9Vsh,,,,,,,,recXpOVvgTqk3dTdE,,Vetted,
East Whatcom Regional Resource Center,Opportunity Council,recDx6bdruXoWzLPy,EWRRC,"Provides general information and resources for the Maple Falls community. Resources include computer and phone access, notary, hygiene and health supplies, clothes, books, toys, household items, specialized intake support such as SNAP benefits, and more.",East Whatcom Regional Resource Center,rec3XVu5BUJq31pR7,https://www.oppco.org/ewrrc/,,(360) 599-3944,,"Community Support Services,Navigating the System,Food Benefits,Government Food Benefits,Goods,Home Goods,Clothing,Toys & Gifts,Books,Personal Care Items,Computer or Internet Access,Notary","recwQuL3cKTIDX0Ib, recjW3uPkRdSkwZwb, recLDXNT9zWcqPFj1, recqJMdurXascAmeG, recYkNaWD02ZhnpEv, recpXP4yQXZj1q6Sr, recL3UHuwxQb3U60a, rec7gQR1YEUvAme3l, rec54dNKKPSAVE2Q2, rece3S4OpuUrKdj0j, recWlYhypSgHFFWRW, recAEElnvdFFqTrmA",8251 Kendall Rd.,reczhHHeqzh0vEIPJ,,,,,,,,"reco0npaEa6LE40dY,rect8OVobB6ib9h7t,reckCVd7xnm1P6nKU",,Vetted,
Basic Food Outreach,Opportunity Council,recDx6bdruXoWzLPy,,Provides information and direct application support that can help families and individuals obtain food stamps.,Opportunity Council Community Resource Center,recTrJGLa6PeBNJOh,https://www.whatcomabc.org/quality-of-life/food-access/basic-food-snap/,,(360) 734-5121 option 3,,"Food,Food Benefits,Government Food Benefits","rec6msXLncJckr8ek, recLDXNT9zWcqPFj1, recqJMdurXascAmeG",1111 Cornwall Ave.,recaQZTZfOfLMhDHm,,,,,,,,,,Vetted,
Opportunity Council Homeless Housing Programs,Opportunity Council,recDx6bdruXoWzLPy,,"Housing programs for individuals and families experiencing unsheltered homelessness, including short-term and permanent housing options. Apply through the Community Resource Center.",Opportunity Council Community Resource Center,recTrJGLa6PeBNJOh,https://www.oppco.org/basic-needs/housing/,,(360) 734-5121 option 3,,"Homeless,Housing,Help Find Housing,Long-Term Housing,Short-Term Housing","rec7wvcVfmMf7RwS7, recCKTPd4gJzUTY28, recb6fXM65HersYLt, reci7zq6u0lYhE1TQ, recnW3sU3JCGbGLxd",1111 Cornwall Ave.,recdeUXIxvbwZWAkk,,,,,,,,recXpOVvgTqk3dTdE,,Vetted,
Whatcom Homeless Service Center,Opportunity Council,recDx6bdruXoWzLPy,WHSC,Provides referrals to housing services to prevent and end homelessness. Apply through the Community Resource Center. ,Whatcom Homeless Service Center,recFRA3kSat2EWTTx,https://www.oppco.org/whsc/,,(360) 255-2091 ext. 1137,,"Housing,Homeless,Long-Term Housing,Short-Term Housing,Housing Vouchers","recCKTPd4gJzUTY28, rec7wvcVfmMf7RwS7, reci7zq6u0lYhE1TQ, recnW3sU3JCGbGLxd, recdpXtZju5oBVh1a",1111 Cornwall Ave.,recB9YdPIbozfLOlF,,,,,,,,,,Vetted,
Rental Assistance (Opportunity Council),Opportunity Council,recDx6bdruXoWzLPy,,"Opportunity Council administers the Federal Emergency Rental Assistance program for residents in Whatcom, Island, and San Juan Counties. Apply online at oppco.org/help-with-rent",,,https://www.oppco.org/basic-needs/housing/help-with-rent/,,(360) 734-5121 ext. 1030,,"Home Renters,Help Pay for Housing,Housing","recCYaVT8Ev1CcuKZ, recJYGDCounIMHC0T, recCKTPd4gJzUTY28",,recztxU567XMc3fHu,,,,,,,,,,Vetted,
Basic Food Employment and Training Program (Opportunity Council),Opportunity Council,recDx6bdruXoWzLPy,BFET,"Assists federally funded Basic Food (SNAP) participants gain skills, training or work experience to increase their ability to attain a living wage career. ",,,https://www.oppco.org/basic-needs/job-skills-money-management/,,(360) 734-5121 ext. 1223,,"Work,Help Find Work,Clothes for Work,Supplies for Work,Help Pay for Work Expenses","recgLX6b1UIeYq0PK, recD0R7SNBKL1THVr, recYSq8M8y6BHebhe, recJJCZYcmYQHquB6, rec2BLcRDmerXYd4W",,recus6eyLnfpIoBWd,,,,,,,,,,Vetted,
Foundational Community Support Employment Program ,Opportunity Council,recDx6bdruXoWzLPy,FCS,Offers services to job seekers who are on Medicaid. ,,,https://www.oppco.org/basic-needs/job-skills-money-management/,,(360) 734-5121 ext. 1223,,"Work,Help Find Work,Clothes for Work,Supplies for Work,Help Pay for Work Expenses","recgLX6b1UIeYq0PK, recD0R7SNBKL1THVr, recYSq8M8y6BHebhe, recJJCZYcmYQHquB6, rec2BLcRDmerXYd4W",,recuJvepOrmjggg7Z,,,,,,,,,,Vetted,
Financial Literacy and Renters Education,Opportunity Council,recDx6bdruXoWzLPy,FLARE,"A free series of classes designed to increase knowledge and skills in budgeting, credit, debt, landlord/tenant law and savings.",,,https://www.oppco.org/basic-needs/job-skills-money-management/,,(360) 734-5121 ext. 1223,,"Financial Education,Home Renters,Housing Advice,Credit Counseling","recPJzsKXTsP7BWvR, recCYaVT8Ev1CcuKZ, rechFAxtvrNqrnrWc, rec5Q8TGXK5hy3COr",,recbhbljZewTjdDUH,,,,,,,,,,Vetted,
On the Money,Opportunity Council,recDx6bdruXoWzLPy,,"Independent classes focusing on increasing knowledge of credit, debt management, savings strategies, asset building, tax information and more.",,,https://www.oppco.org/basic-needs/job-skills-money-management/,,(360) 734-5121 ext. 1223,,"Financial Education,Credit Counseling","recPJzsKXTsP7BWvR, rec5Q8TGXK5hy3COr",,recyDbQzLJ1ZAalrF,,,,,,,,,,Vetted,
Energy Assistance (Opportunity Council),Opportunity Council,recDx6bdruXoWzLPy,,"Bill assistance for home heating and energy bills. Households must be income eligible to receive assistance.  Depending on the time of year, help may be available for electricity, natural gas, propane, heating oil, and wood bills.",Opportunity Council Community Resource Center,recTrJGLa6PeBNJOh,https://www.oppco.org/basic-needs/home-energy/,,(360) 255-2192,,Help Pay for Utilities,recqJeWfuWoaymxab,1111 Cornwall Ave.,recCISeJ3E2YM3q3G,,"Apply online at https://tinyurl.com/y5ljqf5a, or by phone.",,,,,,,,Vetted,
Weatherization Program,Opportunity Council,recDx6bdruXoWzLPy,,"Improves a home’s energy efficiency, durability, indoor air quality and addresses health and safety concerns.  Weatherization services focus on attic, floor and wall insulation, reducing drafts, heating system cleaning and safety inspection and ventilation improvements. Available for both homeowners and renters with landlord permission. ",,,https://www.oppco.org/basic-needs/home-energy/,,(360) 734-5121 ext. 1020,,"Home Owners,Efficient Appliances,Health & Safety,Maintenance & Repairs","recEHD8HrY0RkA18P, reck9wKsIibB795yA, recLpmynC0bhqHBbr, rechdBo0CxxYWlvv2",,recM9kHIEWcGOOtmh,,,,,,,,,,Vetted,
Weatherization Plus Health Program,Opportunity Council,recDx6bdruXoWzLPy,,"Identifies indoor air quality improvements for a home, including mold and moisture reduction, pest mitigation and air quality improvements that can  help reduce asthma triggers and improve indoor environments. Available for both homeowners and renters with landlords permission. ",,,https://www.oppco.org/basic-needs/home-energy/,,(360) 734-5121 ext. 1020,,"Home Owners,Home Renters,Health & Safety,Maintenance & Repairs,Pest Control","recEHD8HrY0RkA18P, recCYaVT8Ev1CcuKZ, recLpmynC0bhqHBbr, rechdBo0CxxYWlvv2, recN2SwhQY1GC6MSP",,recwfoqDBbylxuT9A,,,,,,,,,,Vetted,
Home Repair Loan,Opportunity Council,recDx6bdruXoWzLPy,,"Deferred, low-interest loans may be provided to income-qualifying homeowners to address repairs that focus on: home foundation repair or installation, roof repair or replacement, plumbing, electrical, septic siding, floor, gutters or other repairs to help meet safety standards. ",,,https://www.oppco.org/basic-needs/home-energy/,,(360) 734-5121 ext. 1020,,"Home Owners,Maintenance & Repairs","recEHD8HrY0RkA18P, rechdBo0CxxYWlvv2",,recUYtnJTb0xvOiPp,,,,,,,,,,Vetted,
City of Bellingham Mobile Home Repair,Opportunity Council,recDx6bdruXoWzLPy,Mobile Home Repair,"Assists Bellingham homeowners with limited repairs that can address health and safety, durability issues, and energy efficiency measures. ",,,https://www.oppco.org/basic-needs/home-energy/,,(360) 734-5121 ext. 1020,,"Maintenance & Repairs,Health & Safety,Efficiency Upgrades","rechdBo0CxxYWlvv2, recLpmynC0bhqHBbr, recviNaQYEPkTTrTM",,recxFYCvQ1Dt1ES2w,,,,,,,,,,Vetted,
Conservation Education,Opportunity Council,recDx6bdruXoWzLPy,,"Provides both in-home energy assessments and classroom-based workshops to identify ways to save on energy bills, conserve energy and water, improve health and safety in homes. This services is no cost to eligible households.",,,https://www.oppco.org/basic-needs/home-energy/,,(360) 734-5121 ext. 1020,,,,,recpQBfKoNPSIFrzE,,,,,,,,,,Vetted,
Homeless Outreach Team,Opportunity Council,recDx6bdruXoWzLPy,HOT,"Connects people experiencing homelessness with services, and supports community members in working through issues surrounding homelessness.",,,https://www.oppco.org/whsc/,,(360) 312-3717,,"Homeless,Housing,Navigating the System,Community Support Services","rec7wvcVfmMf7RwS7, recCKTPd4gJzUTY28, recjW3uPkRdSkwZwb, recwQuL3cKTIDX0Ib",,recE3MGNwINs0Yszg,,,,,,,,,,Vetted,
Supportive Services for Veteran Families,Opportunity Council,recDx6bdruXoWzLPy,SSVF,"Provides housing and support services to those who have served in active military, naval or air service, and their families. The program aims to serve those who are at risk of homelessness or who are homeless.",Opportunity Council Community Resource Center,recTrJGLa6PeBNJOh,https://www.oppco.org/basic-needs/housing/,,(360) 734-5121 option 3,,"Housing,Homeless,Near Homeless,Veterans","recCKTPd4gJzUTY28, rec7wvcVfmMf7RwS7, rec2cxjnl0Pw6JmTi, rec15zX42PsepACwI",1111 Cornwall Ave.,recJaQJrJCKLDw4m1,,Contact the Community Resource Center for screening.,,,,,,,,Vetted,
Whatcom Volunteer Center,Opportunity Council,recDx6bdruXoWzLPy,,"Transforms people and neighborhoods by providing a means for volunteers, nonprofits, schools, government and health care organizations to come together to solve community challenges.",Opportunity Council Administration Building,recN8rppdFwWOCGGn,https://www.whatcomvolunteer.org,,(360) 734-3055,,,,1419 Cornwall Ave.,recoiyyynahtkwbAa,,,,,,,,,,Vetted,
Needs Based Ferry Passes,Opportunity Council,recDx6bdruXoWzLPy,,Discounted ferry tickets for eligible Lummi Island residents. Call for an appointment.,Opportunity Council Community Resource Center,recTrJGLa6PeBNJOh,https://www.oppco.org/basic-needs/,,(360) 734-5121 option 3,,"Transit,Transportation,Help Pay for Transit","recDAUBObMv6C8sEk, recLxdzEmSGBRoFid, recsuoQKj9GsVXX0B",1111 Cornwall Ave.,rec92qGXi2EpoDOqn,,,,,,,,,,Vetted,
WTA Bus Passes (Opportunity Council),Opportunity Council,recDx6bdruXoWzLPy,,"Free WTA 6-ride passes are available each Friday, 8:00 AM - 9:00 AM. Limit 2 per person per month. A limited supply is also available at East Whatcom Regional Resource Center. ","Opportunity Council Community Resource Center,East Whatcom Regional Resource Center","recTrJGLa6PeBNJOh, rec3XVu5BUJq31pR7",https://www.oppco.org/basic-needs/,,(360) 734-5121 option 3,,"Transit,Transportation,Help Pay for Transit,Bus Passes","recDAUBObMv6C8sEk, recLxdzEmSGBRoFid, recsuoQKj9GsVXX0B, recOVdeeFN71Hnxps","1111 Cornwall Ave.,8251 Kendall Rd.",recDWFJ5m38nsln87,,,,,,,,,,Vetted,
Maple Alley Inn,Opportunity Council,recDx6bdruXoWzLPy,,"Prepares and serves hot, home cooked meals for the community. Currently providing hot to-go meals every Wednesday, 12 - 1pm at Faith Lutheran Church.","Faith Lutheran Church,St Paul’s Episcopal Old Parish Hall","recXgbHyxorTa9FPY, recLuBamaRIf03Pka",,,,,"Food,Free Meals,Meals","rec6msXLncJckr8ek, recQIjrVP43MjBU7T, recfk98nkziKgILB0","2750 McLeod Rd,2117 Walnut St.",recqfK6GGfZdeH5eQ,,,,,,,,recO2O2ZfsFUMx6Ca,,Vetted,
Basic Food,DSHS (Washington State Department of Social and Health Services),recgasOSzMjIX2vGR,SNAP,"The Supplemental Nutrition Assistance Program, or SNAP, called Basic Food in Washington, helps people with low incomes make ends meet by providing monthly benefits to buy food. Apply online at washingtonconnection.org, by phone, or at your local Community Services Office. ",Bellingham Community Services Office (DSHS),rectPhCnrZMP8Rl6q,https://www.dshs.wa.gov/esa/community-services-offices/basic-food,,(877) 501-2233,,"Food,Food Benefits,Government Food Benefits,Help Pay for Food","rec6msXLncJckr8ek, recLDXNT9zWcqPFj1, recqJMdurXascAmeG, reclNA3Wwp1htS782",4101 Meridian St.,recS6lAfPGhoud8Zl,,"You can apply for Basic Food Assistance online at washingtonconnection.org, by phone, or at your local Community Services Office.

",,,,,,,,Vetted,
Housing and Essential Needs,DSHS (Washington State Department of Social and Health Services),recgasOSzMjIX2vGR,HEN,Provides access to essential needs items and potential rental assistance for low-income individuals who are unable to work for at least 90 days due to a physical and/or mental incapacity. ,Bellingham Community Services Office (DSHS),rectPhCnrZMP8Rl6q,https://www.dshs.wa.gov/esa/community-services-offices/housing-and-essential-needs-hen-referral-program,,(877) 501-2233,,"Help Pay for Housing,Disability Benefits,Money,Government Benefits","recJYGDCounIMHC0T, recZhCS1KPf0NEvHf, recPlzafaM95ikCqj, recIiMl04p86EPI38",4101 Meridian St.,recrM2Ipp11NkSM5h,,"You can apply for Cash Assistance online at washingtonconnection.org, by phone, or at your local Community Services Office.",,,,,,,,Vetted,
"Aged, Blind, or Disabled Program",DSHS (Washington State Department of Social and Health Services),recgasOSzMjIX2vGR,ABD,"Health care coverage for individuals who are age 65 and over, blind or disabled who meet income and resource requirements.

",Bellingham Community Services Office (DSHS),rectPhCnrZMP8Rl6q,https://www.dshs.wa.gov/esa/community-services-offices/aged-blind-or-disabled-abd-program,,(877) 501-2233,,"Help Pay for Healthcare,Disability Benefits,Disability","recgLjAwF3IVODcJi, recZhCS1KPf0NEvHf, recLKLYZv41O8jPT4",4101 Meridian St.,recuoDC3fNSiL6Y9y,,,,,,,,,,Vetted,
Temporary Assistance for Needy Families,DSHS (Washington State Department of Social and Health Services),recgasOSzMjIX2vGR,TANF,Provides temporary cash assistance for families in need. Some families participate in the WorkFirst Program. The WorkFirst Program helps participants find and keep jobs.,Bellingham Community Services Office (DSHS),rectPhCnrZMP8Rl6q,https://www.dshs.wa.gov/esa/community-services-offices/tanf-and-support-services,,(877) 501-2233,,"Money,Financial Assistance,Government Benefits,Families,Parents","recPlzafaM95ikCqj, recbgFtOSl3oWCDSE, recIiMl04p86EPI38, recOs8jW9d2WJDhsu, rec4cE8qW6kVNk0bV",4101 Meridian St.,recoafNrFKTr1MM19,,"You can apply for TANF online at washingtonconnection.org, by phone, or at your local Community Services Office.",,,,,,,,Vetted,
Pregnant Woman Assistance Program,DSHS (Washington State Department of Social and Health Services),recgasOSzMjIX2vGR,PWA,A state-funded program that provides women who are low-income and pregnant and who are not eligible for Temporary Assistance for Needy Families or State Family Assistance with cash assistance and a referral to the HEN program. This program provides a maximum monthly cash grant of $363.,Bellingham Community Services Office (DSHS),rectPhCnrZMP8Rl6q,https://www.dshs.wa.gov/esa/community-services-offices/pregnant-women-assistance-pwa-program,,(877) 501-2233,,"Pregnant,Money,Financial Assistance,Government Benefits","receH7Eb28JwIIF3S, recPlzafaM95ikCqj, recbgFtOSl3oWCDSE, recIiMl04p86EPI38",4101 Meridian St.,recwljg57zR408jBi,,"You can apply for PWA online at washingtonconnection.org, by phone, or at your local Community Services Office.",,,,,,,,Vetted,
Refugee Cash Assistance,DSHS (Washington State Department of Social and Health Services),recgasOSzMjIX2vGR,RCA,Helps eligible refugees and other humanitarian immigrants by providing cash assistance for up to eight months from their arrival date in the United States (or from the date of their immigration status for asylees or victims of trafficking). RCA is for eligible people who do not have minor children.,Bellingham Community Services Office (DSHS),rectPhCnrZMP8Rl6q,https://www.dshs.wa.gov/esa/community-services-offices/refugee-cash-assistance,,(877) 501-2233,,"Money,Financial Assistance,Government Benefits,Refugees,Human Trafficking Survivors","recPlzafaM95ikCqj, recbgFtOSl3oWCDSE, recIiMl04p86EPI38, recsYn0kyO8PB5aI3, recO1muVN8SGaguLJ",4101 Meridian St.,recHfNnbpUDNuEHis,,"You can apply for RCA online at washingtonconnection.org, by phone, or at your local Community Services Office.",,,,,,,,Vetted,
Division of Child Support,DSHS (Washington State Department of Social and Health Services),recgasOSzMjIX2vGR,,Support services for paying and receiving child support.,Bellingham Community Services Office (DSHS),rectPhCnrZMP8Rl6q,https://www.dshs.wa.gov/esa/division-child-support,,800-442-KIDS (5437),,"Families,Parents","recOs8jW9d2WJDhsu, rec4cE8qW6kVNk0bV",4101 Meridian St.,reczqW5sznapW5ou0,,,,,,,,,,Vetted,
Division of Vocational Rehabilitation,DSHS (Washington State Department of Social and Health Services),recgasOSzMjIX2vGR,DVR,"A statewide resource assisting people with disabilities to prepare for, secure, maintain, advance in, or regain employment. DVR serves people who seek meaningful, secure employment but whose disabilities may result in one or more barriers to achieving an employment goal. ",Bellingham Community Services Office (DSHS),rectPhCnrZMP8Rl6q,https://www.dshs.wa.gov/dvr,,(360) 812-6610,,"Disability,Work,Help Find Work","recLKLYZv41O8jPT4, recgLX6b1UIeYq0PK, recD0R7SNBKL1THVr",4101 Meridian St.,rec3gbfCH2e8YzAQp,,Contact DSHS by phone or at your local Community Services Office for application.,,,,,,,,Vetted,
Aging and Long-Term Support Administration,DSHS (Washington State Department of Social and Health Services),recgasOSzMjIX2vGR,ALTSA,Provides assistance to seniors and people with disabilities in need of state-funded care services.,DSHS Home and Community Services Office,recNIwXXXKCspwafW,https://www.dshs.wa.gov/altsa,,,,"Seniors,Disability,Care,Residential Care,Assisted Living,Nursing Home,In-Home Support","recJnEdhIA6wUbdzg, recLKLYZv41O8jPT4, recFynVbJhP9DcOwP, recjrbb2HSgyaHdpa, recWuNvvhh3c22KDA, recqyhi6r39JFnOto, recVeQlFTV6sovBoc",2219 Rimland Dr.,recMlrpBFlK6qKgG9,,,,,,,,,,Vetted,
Developmental Disabilities Administration,DSHS (Washington State Department of Social and Health Services),recgasOSzMjIX2vGR,DDA,"Programs for people with developmental disabilities, including services for personal care, respite, employment, residential supports, and more.  ",,,https://www.dshs.wa.gov/dda,DDA2IETEAM@dshs.wa.gov,(800) 788-2053,,"Developmental Disability,Disability","recyhyWOEEXd1S4PP, recLKLYZv41O8jPT4",,recOpDqPpDQJOM18w,,,,,,,,,,Vetted,
Adult Protective Services,DSHS (Washington State Department of Social and Health Services),recgasOSzMjIX2vGR,APS,"Report concerns involving vulnerable adults online, by phone, fax, or email.",,,https://www.dshs.wa.gov/altsa/home-and-community-services/report-concerns-involving-vulnerable-adults,apscentralintake@dshs.wa.gov,1-877-734-6277,,"Help Hotlines,Immediate Safety,Physical Safety,Seniors,Disability","recCaUmmFlIV3UOwU, recGwLimJylbPv5Hz, recDy1vhq7JShgaBn, recJnEdhIA6wUbdzg, recLKLYZv41O8jPT4",,recOvRmqVkKJwUq9S,,,,,,,,,,Vetted,
Office of Refugee and Immigrant Assistance,DSHS (Washington State Department of Social and Health Services),recgasOSzMjIX2vGR,,"Services to support refugee and immigrant families and individuals in Washington State. Services include cash, food, and medical benefits; employment and training; naturalization services; health and mental health services; and more.",,,https://www.dshs.wa.gov/esa/office-refugee-and-immigrant-assistance,,(877) 501-2233,,"Refugees,Undocumented,Citizenship & Immigration,Citizenship,Immigrants","recsYn0kyO8PB5aI3, recr7K6vtcMjUaPyI, recRYIKf9jodCgKdr, recCWrkR6OTH6jyJB, recbiCoPYceNUp021",,recYZ7MknxmwPv5jx,,"You can apply for assistance online at washingtonconnection.org, or at your local Community Services Office.",,,,,,,,Vetted,
Child Protective Services,"""DCYF (Washington State Department of Children, Youth, and Families)""",recKyl8QuyTssXynn,CPS,A state agency that investigates reports of child abuse and neglect.,Bellingham DCFS Office,recP4GGsJY0XWmnch,https://www.dcyf.wa.gov/services/child-welfare-system/cps,,(360) 594-6700,,"Children,Families,Physical Safety,Immediate Safety","recH2S9jjAnFPldly, recOs8jW9d2WJDhsu, recDy1vhq7JShgaBn, recGwLimJylbPv5Hz",1720 Ellis St.,recpsDQcHNFDR6l1D,,,,,,,,,,Vetted,
Child Abuse Hotline,"""DCYF (Washington State Department of Children, Youth, and Families)""",recKyl8QuyTssXynn,,Hotline to report child abuse or neglect to Child Protective Services.,,,https://www.dcyf.wa.gov/safety/report-abuse,,"1-866-END-HARM (363-4276),(866) 829-2153",,"Emergency,Immediate Safety,Physical Safety,Help Hotlines,Children","recv9Cso39oBw8MCb, recGwLimJylbPv5Hz, recDy1vhq7JShgaBn, recCaUmmFlIV3UOwU, recH2S9jjAnFPldly",,rec2EwTFYcgOjGyhV,,,,,,,,,,Vetted,
Foster Parenting and Kinship Care,"""DCYF (Washington State Department of Children, Youth, and Families)""",recKyl8QuyTssXynn,Foster Care,"Services for foster parents and kinship caregivers, including help becoming a foster parent, and supports for current foster parents.",,,https://www.dcyf.wa.gov/services/foster-parenting,,1-888-KIDS-414,,"Adoption & Foster Care,Adoption & Foster Placement,Adoption & Foster Parenting","rec3OblwwM1LIhz0a, recOuFo0RQZR4aztk, recj5Q4dhvmHnzEbF",,recek6Lp3E8rhfxiZ,,,,,,,,,,Vetted,
Foster Parent and Caregiver Support line,"""DCYF (Washington State Department of Children, Youth, and Families)""",recKyl8QuyTssXynn,,"Provides phone support when foster parents and kinship caregivers are in crisis. DCYF caseworkers answer the calls and can offer behavior management advice, problem solving tips and a listening ear. ",,,https://www.dcyf.wa.gov/services/foster-parenting/get-support,,1-800-301-1868,,"Adoption & Foster Care,Adoption & Foster Placement,Adoption & Foster Parenting,In Crisis,Emergency,Help Hotlines","rec3OblwwM1LIhz0a, recOuFo0RQZR4aztk, recj5Q4dhvmHnzEbF, rectpgGWV6bm6Hz8V, recv9Cso39oBw8MCb, recCaUmmFlIV3UOwU",,recdEcXzQ35cUZt0e,,,,,,,,,,Vetted,
Adoption Support Program,"""DCYF (Washington State Department of Children, Youth, and Families)""",recKyl8QuyTssXynn,,Assists in removing barriers for families adopting special needs children by providing ongoing medical and financial supports.,,,https://www.dcyf.wa.gov/services/adoption-support-program,,,,"Adoption Planning,Adoption Counseling","recXB1QWe0dhVoG4P, recvi1VfeDfuypVsw",,rec5GgdP4Kr2BH1M0,,,,,,,,,,Vetted,
Sea Mar Bellingham Medical Clinic,Sea Mar Community Health Center,recl6mRA3eQbvB4c0,Sea Mar Bellingham,"Specializes in primary care family medicine, including preventive health exams, prenatal care, acute care visits, minor procedures, health education, follow-up care from hospital visits, and referrals.",Sea Mar Bellingham Medical Clinic,recQxwmhToj2HVfIk,https://www.seamar.org/whatcom-medical-bellingham.html,,(360) 671-3225,,"Health,Medical Care,Primary Care,Prevent & Treat,Checkup & Test,Health Education,Nutrition Education,Maternity Care,Women's Health","reciYkvwqodZbQOxg, recAt1RYmyx0kOuIt, rectgyxTmvkMVIBBC, recKS0XVAOeMrFEMb, rec1kbhC9u3BquA45, reck5XAwtGi6t3XeG, recxKh3xVgHqKNd5W, receACWnJE9wFfvXS, recoXmcooepmDKEv9",4455 Cordata Pkwy.,recHo6GKlaO4X3X5g,,,Spanish Language (in-person),,,,,"recfYKqG07il1WFX1,recxikS7S4COr7xod",,Vetted,
Sea Mar Everson Medical Clinic,Sea Mar Community Health Center,recl6mRA3eQbvB4c0,Sea Mar Everson,"Specializes in primary care family medicine, including preventive health exams, prenatal care, acute care visits, minor procedures, health education, follow-up care from hospital visits, and referrals.",Sea Mar Everson Medical Clinic,recjbb8IshEXfJPBF,https://www.seamar.org/whatcom-medical-everson.html,,(360) 354-0766,,"Health,Medical Care,Primary Care,Prevent & Treat,Checkup & Test,Disease Management,Health Education,Vaccinations","reciYkvwqodZbQOxg, recAt1RYmyx0kOuIt, rectgyxTmvkMVIBBC, recKS0XVAOeMrFEMb, rec1kbhC9u3BquA45, recyCMj34GvuU3vug, reck5XAwtGi6t3XeG, recnJ4UInpNDGnvfq",6884 Hannegan Rd.,recXX36aooau1koPd,,,Spanish Language (in-person),,,,,"recR8XVhBbAsq5ERy,rec1pvkwT73vQa3b2",,Vetted,
Sea Mar Bellingham Dental Clinic,Sea Mar Community Health Center,recl6mRA3eQbvB4c0,Sea Mar Dental,"Specializes in family dentistry including preventive dental exams, emergency or urgent care, and referrals. ",Sea Mar Bellingham Dental Clinic,recC0VmnoPeYD72Ui,https://www.seamar.org/whatcom-dental-bellingham.html,,(360) 788-7101,,"Dental Care,Health","recsyfErFtkAGFX9Y, reciYkvwqodZbQOxg",4455 Cordata Pkwy.,recIElh8NBtdk27PR,,,Spanish Language (in-person),,,,,,,Vetted,
Sea Mar Bellingham Behavioral Health Clinic,Sea Mar Community Health Center,recl6mRA3eQbvB4c0,Sea Mar Behavioral Health,"A state-licensed community mental health agency. Provides chemical dependency services, mental health services, and medication assisted treatment (MAT).",Sea Mar Bellingham Behavioral Health Clinic,rec00C2t3ObHjQ8Hh,https://www.seamar.org/whatcom-bh-bellingham.html,,(360) 734-5458,,"Mental Health Care,Health,Mental Health Evaluation,Medications for Mental Health,Substance Abuse Counseling,Counseling,Substance Dependency,Medications for Addiction","recpSmwmXlthgV7gO, reciYkvwqodZbQOxg, rec5MxwiEOufcHbKy, recsow8v5A4oUJJVH, rec1AihvHCaiMoDtH, recmcWSEr2iFwDaTL, recU6IywQcWaehPgJ, recVnjBWhEHgiwErS",3350 Airport Dr.,rechF6BSKH4uXfw2G,,,Spanish Language (in-person),,,,,recfiyiWZlOeF4VOn,,Vetted,
