number,locations,location_id,services,service_id,organizations,organization_id,contacts,contact_id,extension,type,language,description,id,schedule,schedule_id
(206) 543-4619,,,,,Dental Care for Persons with Disabilities ,recuouEfx6UlEuwK5,,,,,,,recFdgY1bOBDAoaxX,,
(360) 647-7300,,,,,Department of Labor & Industries-WA ,recnjFpe2amDGFaEp,,,,,,,rec4Vo9gBN6aKTYwr,,
(206) 324-1521,,,,,Disability Rights Washington  ,recz6iCxGREL0v6xG,,,,,,,rech0uKgLH0IUXrwA,,
1-800-562-2702,,,,,Disability Rights Washington  ,recz6iCxGREL0v6xG,,,,,,,rec5J9gDXQGjKaH5T,,
Please use 711 for TTY,,,,,Disability Rights Washington  ,recz6iCxGREL0v6xG,,,,,,,rec8N8iZSwub8rKYB,,
(360) 715-1563,,,"Ask an Advocate at DVSAS,Legal Assistance at DVSAS,DVSAS 24-Hour Helpline,DVSAS Advocacy Counseling,DVSAS Support Groups,DVSAS Safe Housing Program,DVSAS Professional Trainings","recnoxVknPXefnYVN, recwkiFGqCygzgsqU, rece2AuKYnuuRLQwz, recOyMxPQoRGBOz1S, recCn4eNawTHwgiMv, recgSMLQoVMgi1bAK, recOgfavccEovQw2o",Domestic Violence and Sexual Assault Services (DVSAS),recz8xRe1VHPr90xt,,,,,,24-hour hotline,recs0Wzzk1kmCeeKj,,
(877) 501-2233,Bellingham Community Services Office (DSHS),rectPhCnrZMP8Rl6q,"Basic Food,Housing and Essential Needs,""Aged, Blind, or Disabled Program"",Temporary Assistance for Needy Families,Pregnant Woman Assistance Program,Refugee Cash Assistance,Office of Refugee and Immigrant Assistance","recS6lAfPGhoud8Zl, recrM2Ipp11NkSM5h, recuoDC3fNSiL6Y9y, recoafNrFKTr1MM19, recwljg57zR408jBi, recHfNnbpUDNuEHis, recYZ7MknxmwPv5jx","""DSHS, Island County "",DSHS (Washington State Department of Social and Health Services)","recypdpoW6LsGltjX, recgasOSzMjIX2vGR",,,,,,,recphsLuOL4uw9y4f,,
(360) 734-8860,,,,,Employment Solution Inc. ,recBtcG1FkpHGwVua,,,,,,,recVaeiQCIpPLGKhO,,
(360) 671-5898,,,,,Evergreen Supported Living ,recUiNubBcQ1fl6HU,,,,,,,recamsLSzIgKuvNyf,,
1-800-249-2437 (hotline),,,,,"""Evergreen Wellness Advocates
""",recM1fLAwFVE2vZjF,,,,,,,rec3oXFnalx9b5Vc7,,
(360) 671-0703,,,,,"""Evergreen Wellness Advocates
""",recM1fLAwFVE2vZjF,,,,,,,recAu2Wncpwn7IcwD,,
(360) 966-3144,,,,,Everson Senior Activity Center ,recrVJujZgG7CzMpr,,,,,,,receDoemYopFRVv61,,
(360) 734-2457,,,,,Express Employment Professionals ,recWGVDGFKxSoPOaX,,,,,,,recFpZ0JqfdBXWWp4,,
(360) 676-6749,,,,,"Northwest Regional Council,Family Caregiver Support Program-Northwest  Regional Council","recXK02AeJb4uZ44f, recIRGg9Z58iTEdfp",,,,,,,recAulBntEIZEFnBP,,
(360) 380-2200,,,"Family Funds Program,Ferndale Other Bank,Ferndale Resource Center","recDDpWpmT2hs4txy, rec5l7pShFpXTkMNR, recNZJpssJbVqm4wq",Ferndale Community Services,rec1j2QGts8EXLdvy,,,,,,,recrUnhotHsWFOkI2,,
(360) 223-0788,,,,,Ferndale Food Bank ,recIiFZKHYrPCA028,,,,,,,recmfdZQ8lufq3Hbr,,
(360) 384-6244,,,,,Ferndale Senior Center,recCXiSMTaoL9kzyC,,,,,,,recew9Lh5c2IDLEKb,,
(360) 599-3944,,,"East Whatcom Regional Resource Center,Food Lifeline Mobile Pantry","reczhHHeqzh0vEIPJ, rec2Ee2YjJxmAKtRb",Food Lifeline Mobile Pantry ,recPGcBV9IkRFxmSs,,,,,,,recnqJqs7yiHzhKoK,,
(360) 392-8149,,,,,Foothills Food Bank ,rec28tJSHcdaJwgpf,,,,,,,rec3t70hHUxAQem0u,,
(360) 738-0483,,,,,Goodwill Job Training and Education Center ,recxxcdIX2aTRilaD,,,,,,,recWeRWJEbzr63KBZ,,
(360) 715-9170 (office) or (360)778-2036 (HomeStore),,,,,Habitat For Humanity and HomeStore - Whatcom County,rechQSVPfXipoPwaa,,,,,,,recQyw4Hihca9tt8u,,
(360) 331-6272,,,,,Habitat for Humanity Store - Island Co. Freeland,recfFsfXfGYo6nhyw,,,,,,,recUjjjl9tiJ2x8yP,,
(360) 647-0910  Videophone (360) 255-7166,,,,,Hearing Speech and Deafness Center ,recPviuPsKEabfghp,,,,,,,recRRvevh4rRoil9D,,
Contact Steve Burger (360)303-6334,,,,,Helen’s House,rec4NhvLMPfxELyiV,,,,,,,recuDN6GmwzuPPxEZ,,
(360) 733-8400,,,,,"Southside Food Bank,Hillcrest Chapel ","recJXL6eox05CKK7G, recUOZgQZh9mk8CdI",,,,,,,rec0fFdbxEWnWuugO,,
(360) 778-8391,,,,,Home Rehabilitation Loan Program,recTEcGxe1W1IUiS0,,,,,,,reclpuNCVKsLqXAd5,,
(360) 671-8702,,,,,Hope House,recw4uRrvGQJMPPwC,,,,,,,rectdH1OzGdJubyLd,,
(360) 221-7656,,,,,HOPE Therapeutic Riding Center ,rec2PZDJ87EttooKm,,,,,,,recCtmT5yjyfq8xs4,,
24-hr scheduling line,,,,,Ideal Option,recBEZXdzWgkZJGjq,,,,,,,recSgLL5F7Uwc1RgZ,,
(360) 734-3983,,,"CAST,Interfaith Coalition Winter Warmth Drive","recwt9lxXjNRwshoz, rect39rb2bxF8rwBE",Interfaith Coalition,recxT5X75m9oN4qrL,,,,,,,recUNaGIINYX0PZaz,,
(360) 679-7350,,,,,Island County Health Dept.,recx35MkUWKrW1Zue,,,,,,,recCCRYutNoIV2s4Z,,
(360) 312-0232,,,,,Jesus Christ Chief Cornerstone Ministries ,recjaQ2UtpIaY18kf,,,,,,,recO8EIJxguIOfT60,,
(360) 676-6780 (#4 option),,,,,Juvenile Community Justice Center ,recqmqJjhyNEeJH8J,,,,,,,rec0vNDsKSTjJWdCm,,
(360) 647-2207,,,,,Kelly Temporary Services ,reccad9IDsoQO2oKy,,,,,,,reciP6smlCVgCVV8O,,
(412) 444-KIDS (5437),,,,,Kids in Motion ,reccoX57Ox4B2Bhtb,,,,,,,recbGkr80tJLVcnhU,,
(360) 734-3858,,,,,Kids Korner ,recn8PDyDMtnRrK8S,,,,,,,recJZ8RXOlxEEBA1m,,
(360) 671-5600,,,,,Kulshan Community Land Trust ,recB0K89rx1H2EIuf,,,,,,,recCOGrn0BBsqgs2x,,
(360) 424-3811,,,,,Kulshan Pediatric Dentistry,recUFHQDBFi7yMp3S,,,,,,,recBS2aP7OXmaHvo9,,
(360) 647-7642,,,,,Labor Ready,rec4PCzdExedjWKV0,,,,,,,recB87bq3PtcXOBo4,,
(360) 676-6000,,,,,Lake Whatcom Residential and Treatment Center ,recfEAg4Cri4INP4b,,,,,,,recfEhyCndb5jwfVJ,,
(360) 671-6079,,,,,Law Advocates  ,rectRSHDv3rkspLVq,,,,,,,recE55hSTTSSOtHoB,,
(360) 922-3030,,,,,Lifeline Connections,rec5T1ETpFh2T6Xau,,,,,,,rec4z59bcwluiVXqv,,
(360) 733-5120,,,,,Lighthouse Mission  ,recZtFec1gf2I4H2W,,,,,,,recS7CWFnzZoAt41d,,
(360) 734-4500,,,Loaves and Fishes Community Meal,recNOt56RgByZtd84,Loaves and Fishes Community Meal,recZePMSi8UoJH7Jt,,,,,,,rec7IpnhKqvX8NcHX,,
(360) 671-6201,,,,,Love INC. ,recHoJGeLtDUa9dgm,,,,,,,recO4ycT5T0zdYQkX,,
(360) 384-2324,,,,,Lummi Children’s Services ,recgqDuZC4K6s7QEF,,,,,,,recswcFl68LNLGysx,,
,,,,,Lummi Community Services ,recIPQstWy17s1SLp,,,,,,,recAgBJVVFW5FosCP,,
(360) 312-8407,,,,,Lummi Housing ,recIKNmlUeVS9XVeD,,,,,,,recP6bgwHJMqFYike,,
(360) 384-0464,,,"Lummi Tribal Health Center,Lummi Tribal WIC Program","recgLdQ6t4HcOhGfe, recOPW3y15b5WDF2a",Lummi Tribal Health Center,recJdHHCi3VZHLL5U,,,,,,,recbr57yxlHWRMe1W,,
(360) 312-2015,,,,,Lummi Victims of Crime - LVOC ,recriZwdVx6qdBNTf,,,,,,,rec9RKUFyVQ7FRHzS,,
(360) 671-7663,,,,,Lydia Place  ,recVZf2v2xHyDESHr,,,,,,,recy5rVa3HvvnwZV7,,
(360) 354-4501,,,,,Lynden Senior Community Center ,recVTDjSqaY2qQrNw,,,,,,,reczbJQdwhTXQev7C,,
(360) 671-1977,,,,,Manpower  ,recCetadKWrOF0ZnV,,,,,,,rece39ir3WIKQ6RWl,,
Contact Dan Houston (360) 778-9616,,,,,Maplewood House ,recrGriJRIZcUX5eU,,,,,,,recYO69udmcWEDmm1,,
(360) 733-1828,,,,,Max Higbee Recreational Center,recLVtZ05L6cil4ot,,,,,,,recyGwrBSZu0EvPI1,,
(360) 746-6480,,,,,Meals on Wheels/Congregate Meals ,rec8tUBk0tXpG4F9z,,,,,,,recrubhrPJTDlMIi7,,
1-888-693-7200,,,,,Mental Health Central Access Line ,recwhpVwH6Rh3win7,,,,,,,recAWYpehLWxtA269,,
1-800-543-5678 (24 hrs.),,,,,Missing Persons Information Center ,rec3Cc7dIcj3kZUzm,,,,,,,recTCZWAv5dDkbzzq,,
(360) 734-9095,,,,,Mount Baker Planned Parenthood Clinic ,recicnGbOCRcI7XbV,,,,,,,recHY31J0VOtk815h,,
(360) 671-4950,,,,,NAMI of Whatcom County (National Alliance on Mental Illness),recYz2qEs82xw0Y1f,,,,,,,rec4KAnhWXzbb5ix5,,
(360) 647-3234,,,,,Narcotics Anonymous ,rec2qBrAv2Vh5pzl4,,,,,,,rec0cXjdlHH3mm5VK,,
1-877-424-3838,,,,,National Call Center for Homeless Veterans ,rec9HhpFIXaoyynsg,,,,,,,recopjS0sgyBQrq4m,,
1-800-787-3224 (TTY),,,,,National Domestic Violence Hotline ,recPmAtN6i6mFlLHu,,,,,,,recemHlHc391PAm3a,,
1-800-799-7233,,,,,National Domestic Violence Hotline ,recPmAtN6i6mFlLHu,,,,,,,rec6GklyY298tzU6o,,
1-800-SUICIDE (784-2433) or 1-800-442-HOPE (4673),,,,,National Hopeline Network- Suicide Prevention ,recNLYZ3ydfUO8zSy,,,,,,,rec4Tx6DkAZFL8eMR,,
1-800-656-4673,,,,,National Sexual Assault Hotline ,recfIYhsCgEcaDkQf,,,,,,,recpu0S4Su2ahEFN0,,
(360) 354-9930,,,,,New Way Ministries ,recTesaCeBC4kYQuG,,,,,,,rec8wNJVkie6HMgHV,,
(360) 592-0135,,,,,Nooksack Food Bank ,recK2yPXUIFyxwQET,,,,,,,rec4xHBnwAQQyuscc,,
(360) 966-2106,Nooksack Indian Health Department,recSkx5RKjbG7OWVs,"Nooksack Tribal Clinic,Nooksack WIC Program","recMFrybmgyjtmbkI, recrWLOWHWS9rf3oA",Nooksack Indian Health Department,recy5vdesj7mlBzsJ,,,,,,,recwar8QcwdgIc1qf,,
(360) 592-5163,,,,,Nooksack Indian Housing Authority ,recEYdcGYIm1u7OFe,,,,,,,reccyS9LO8hkWVIEb,,
(360) 966-9696,,,,,Nooksack Tribal Education Department ,recfOmKSHlFsWpdng,,,,,,,rect3q01ZUvWzMIYv,,
(206) 587-4009 or 1-800-445-5771,,,,,Northwest Immigrant Rights Project,recV6mqI9GoiC51xh,,,,,,,recgeHUa0O1o7MbUh,,
(360) 734-8680,,,,,Northwest Justice Project ,recGOruj9ehsrJgEC,,,,,,,recRzMfjOVb4Q1Ari,,
1-800-585-6749,,,,,Northwest Regional Council,recXK02AeJb4uZ44f,,,,,,,recIbV69mHe9kN9gG,,
(360) 966-2124,,,,,Northwest Therapeutic Riding Center,recKp59CYPcRWH3pV,,,,,,,recyZpsq2USOdM5Hi,,
(360) 734-9862,,,,,Northwest Youth Services ,recCF1bANXnZ7YPiL,,,,,,,recwU33OnYaXAEL4Y,,
1-800-964-0852,,,,,Office of Mobile and Manufactured Housing,recCNgbIM97pcLzlL,,,,,,,recU8cRfZPlo2xesO,,
1-800-RUN-AWAY/1-800-786-2929 24/7 toll free #,,,,,Operation Home Free - National Runaway & Youth Crisis Hotline  ,recjuYFPw7TdgDxgg,,,,,,,rechcuctqJLs1WAoF,,
(360) 738-2803,,,,,Operation School Bell - Assistance League of Bellingham,rec6MDaAgsnK38ELS,,,,,,,recEJwbU4w7x0OL4I,,
(360) 734-5121,,,,,Opportunity Council,recDx6bdruXoWzLPy,,,,,,,recZT8oHadQj3Gmcn,,
(360) 679-6577 or 1-800-317-5427,,,,,"Opportunity Council Island County Rental Assistance,Opportunity Council Island County Solid Waste Program","recyMvmzsYMQFt9SR, recHtWoi2MnuhPMTU",,,,,,,recRlztygfR8Xtag7,,
(360) 306-8561,,,,,Oxford House Journey,recx00gSqoGTMDpky,,,,,,,recfCp90WJDzlXZ5H,,
(360) 393-4328,,,,,Oxford House View Ridge,recubitjPhkExHShn,,,,,,,recqcPQq18D2a3uSs,,
(360) 733-1144,,,,,Paratransit Service-Whatcom Transportation Authority,recTx5QSuUa74peiq,,,,,,,rec8j9YOrqiSprmv9,,
(360) 675-2096,,,,,Pregnancy Care Clinic of Oak Harbor,recKQSaikh6cMO0k3,,,,,,,recAecaX34tVfbf1n,,
(360) 354-4673,,,"Project Hope Food Bank,Project Hope Community Assistance","rec93UAu9WegCbNMZ, recbesc3BBk2Nej0n",Project Hope Lynden ,recEeLmHcipShs7qC,,,,,,,rec2weu3XShxQFO5o,,
(360) 647-5921,,,,,RE Store,rec8eQqGy5GxjGJb2,,,,,,,recPx9BHslnfKFiwo,,
(360) 221-6808 ext.4321,,,,,Readiness to Learn South Whidbey,recCE9okcskoQ6pRk,,,,,,,recEUKu2HHnTvy3GE,,
(360) 714-0700,,,,,Rebound of Whatcom County,recNzTmiGcrCoGQ6B,,,,,,,recmm7DpyUbQBLgBn,,
(360) 739-9298,,,,,Redemption Place,recBIzK6sRisXO91T,,,,,,,reckt5NjBulbI8b2z,,
(360) 733-8307,,,,,ReSources,recT84vXPkCJWm8mM,,,,,,,recZIGbIDq0w1aYCO,,
(360) 510-3205,,,,,Rooted Emerging,reck1qQkbDC5PxyKn,,,,,,,rechMVYD59OaoMRbU,,
(360) 733-1410,,,,,Salvation Army,recmBwlkTAXZcHKtv,,,,,,,rec1slndyV3MApPON,,
(360) 733-0176,,,,,Sean Humphrey House,recwXhBDoZ23Xg5g1,,,,,,,recosSMI6JQXtBEyw,,
Contact Lance: (360) 739-9298,,,,,Second WakeUp House,rec6SZq2IFYEOgbqL,,,,,,,recKc9owHVQA3FXoC,,
or Felix: (360) 739-5900,,,,,Second WakeUp House,rec6SZq2IFYEOgbqL,,,,,,,reckeVzDdLtx1aDtt,,
or 800-562-6900,,,,,SHIBA Helpline (Statewide Health Insurance Benefits Advisors) - Medicare,recz4ZTVR5THAOEne,,,,,,,recgZ1CBYj3jCTkL7,,
(360) 734-5121 ext. 465,,,,,SHIBA Helpline (Statewide Health Insurance Benefits Advisors) - Medicare,recz4ZTVR5THAOEne,,,,,,,rec7zotigDldr1wjv,,
(360) 416-7585,,,,,Skagit County Community Action Agency,recvkfDsIKTyYSQLw,,,,,,,rec3G4DawsxqZSWjj,,
(360) 353-4781,,,,,Skookum Kids,recxiHG9GAsw5Ug9u,,,,,,,recADpgcERtXw7QVb,,
1-800-772-1213,,,,,"Supplemental Security Income (SSI),Social Security Administration - Medicare,Social Security","recUc5L1tzijuXAHO, recCUSK9xleNaV7sy, recaIqnQA0fY491BN",,,,,,,receHwGRJ7pfSyD4z,,
(206) 694-6767,,,,,Solid Ground Landlord/Tenant Information & Hotline,recGVKhYPPtE92PpK,,,,,,,recNqCmB20gqB4H8k,,
(360) 733-2890,,,,,St Paul’s Episcopal Church Alms Ministry,recVYnGCvgG0lECKS,,,,,,,recUzPggef0iuR5ul,,
(360) 384-3651,,,,,St. Joseph’s Catholic Church Outreach,recTMdtkwA6fvP8ut,,,,,,,rec69fikfRJ1vUSxU,,
(360) 734-2722,,,,,St. Vincent De Paul-Sacred Heart Church,rec5d2MnTkPTGsDMR,,,,,,,reczSPHJ6uoGxB5L2,,
(360) 629-5257,,,,,Stanwood-Camano Community Resource Center,recNauXcd2euzszGn,,,,,,,recb1jHBhntTwW4zl,,
(360) 629-2789,,,,,Stanwood-Camano Food Bank ,recIpJZZOMOW9XFWY,,,,,,,recgQtCgxBhHBMrfk,,
Contact Pam (360) 671-5586,,,,,Stepping Stones Clean and Sober Housing,rech1qPrEr26T4zKR,,,,,,,recCTlUhAmXcwb8sf,,
(360) 392-1324,,,,,Sun Community Services,recCpBS6x4CKnHCQw,,,,,,,recLWGEpGXCS979I3,,
(360) 738-3952,,,,,Supplemental Security Income (SSI),recUc5L1tzijuXAHO,,,,,,,rechRIWTT3w6CIujt,,
(360) 715-0170,,,"Self-Advocacy Program,Medicaid Personal Care Parent Training,The Arc Legislative Advocacy","reck4hxVBp4gzdwuU, recLXASC6UpckVMcN, recqzOuVCAxuxHNLl",The Arc of Whatcom County,recgdgE4uVZ9DalkK,,,,,,,recl1PPlQWO178VRb,,
(360) 319-3759,,,,,The Whatcom Dream,rectTteJGtfCYoj7E,,,,,,,recCGQUZYB9LJ2Pm6,,
(360) 788-7EAT (7328),,,,,Tutu's Free Food Hotline ,recsZxvXlgWmB5uBl,,,,,,,recgFiCKb5IHVpqi9,,
1-800-638-2772,,,,,United States Consumer Product Safety Commission Hotline,recYLotunfW6qHxmk,,,,,,,recdIoYSBmcbJ7lBj,,
(360) 676-6177,Unity Care NW Ferndale,recAGaqcekgErU5Ft,"Unity Care NW Primary and Preventative Health Care,Unity Care NW Children's Medical Care,Unity Care NW Adult Dental Care,Unity Care NW Children's Dental Care,Unity Care NW Behavioral Health","recW5u7LQOuUjzUay, recouXi1tWCvLXApS, recYIr4WnBjfwvlxT, recxj6W8dqtqUtocb, recKn7l3eLepC3Z5l",Unity Care NW,recQCprmXVCo7MQQ3,,,,,,,recu7GpZK0xFFtTps,,
1-800-273-8255,,,,,Veterans Crisis Line,recdwiT6XS5DB9kox,,,,,,,recO6NX12oWHnnmJK,,
press 1 or text to 838255,,,,,Veterans Crisis Line,recdwiT6XS5DB9kox,,,,,,,rec5ppzLjs4Txo1eI,,
24 Hr. Crisis line:1-888-288-9221,,,,,Victim Support Services,recu7peRktDy36Lfx,,,,,,,rectCnltNoAaibWT1,,
(360) 756-1780,,,,,Victim Support Services,recu7peRktDy36Lfx,,,,,,,recEqpRzjKhXlyQ6q,,
(360) 756-9929,,,,,Violence Intervention Professionals,reclemujri83PcnTq,,,,,,,recli3gPBsbq2hNf4,,
1-800-584-3578,,,,,VOA Care Crisis Line and Online Chat,recm2j8tdabhoLYvZ,,,,,,,recpuV0qL4SSJzWVe,,
(206) 328-5116,,,,,Washington Access Fund,recTdU3VFUiMEbCsH,,,,,,,reczfoB9axpgETe0B,,
1-877-894-4663,,,,,Washington Homeownership Resource Center,recMR9I3JbjhsoxBA,,,,,,,recamdVSdC8j6eNi8,,
1-800-222-1222 (24 hrs),,,,,Washington Poison Center,recBFNhbdpNtgQhKH,,,,,,,rec2FOqSTCBSON1ZI,,
1-800-572-0638 (TTY),,,,,Washington Poison Center,recBFNhbdpNtgQhKH,,,,,,,rec2zYlj42rU5SlGP,,
(206) 389-2515,,,,,Washington State Coalition Against Domestic Violence,recX7si4SzTSJE8d3,,,,,,,recJPkMdnFsrHoPXS,,
(206) 389-2900 (TTY),,,,,Washington State Coalition Against Domestic Violence,recX7si4SzTSJE8d3,,,,,,,recG9uJrkTWgW9gfS,,
(360) 676-2096,,,,,Washington State Department of Licensing,rec30PJ2zNWDg0lSM,,,,,,,recLV35anugnyeyYl,,
1-800-562-6025,,,,,Washington State Domestic Violence Hotline,rec9JGG278bBD9Etg,,,,,,,rectbrevOKhEgQHOg,,
(206) 615-0400,,,,,Washington Talking Book and Braille Library,reckhrPEUTnBcA1Tb,,,,,,,recKRuFrTw5pLvxVz,,
1-800-542-0866 (toll free),,,,,Washington Talking Book and Braille Library,reckhrPEUTnBcA1Tb,,,,,,,rec3s5doVQ7V7SQxc,,
(425) 451-8838 or 888-440-9946,,,,,Washington Women In Need,recO9UgPxc06hAAnN,,,,,,,recoqIJOUqhtkOjl6,,
(360) 647-5415,,,,,We Care of Whatcom County,recIjUGOaAuPway3u,,,,,,,recGtYWjLFNb8wzBn,,
(360) 592-5403,,,,,Welcome Valley Senior Center,recbk5OBL53FFzmUY,,,,,,,recSB7wdfnOM4QrR2,,
(360) 647-7577,,,,,Westcoast Counseling and Treatment Center,recyxohr7BkoUDV1M,,,,,,,rechsdWHx8iNRRtYE,,
(360) 671-3660,,,"Sensational Toddlers,WCEL Friends Playgroup,WCEL Drop-in Playgroups","recQfEAbROvOLL6OV, rec8XkFW1fAWlRUHj, recT9ihPj4yjEh6YC",Whatcom Center for Early Learning,recZR9OfxDfayGV8M,,,,,,,recTV99H6M7fmRsWE,,
(360) 383-3000,,,,,Whatcom Community College,recyTpr0XxNXAilp9,,,,,,,recy13vruSe0FWrRn,,
(360) 676-2020,,,,,Whatcom County Behavioral Health Triage Center,rec482zJywsE2HaB9,,,,,,,rec0WKAMPg55ePGYZ,,
(360) 778-6000,Whatcom County Health Department ,receYX7V2zWpvn7tU,,,Whatcom County Health Department ,recsJOY2XgLE7ar6o,,,,,,,rec6g2uvUM49R8YNp,,
(360) 305-3600,,,WCLS WiFi and Laptops,reciyozRCGNWRL3DB,Whatcom County Library System,recSTUXGET8dHOpKy,,,,,,,reco9yWjBkB6uRtIk,,
(360) 671-9057,,,,,Whatcom County Pregnancy Clinic,recbj7qhLkJMEF30H,,,,,,,recKkILFaACoU2kWY,,
(360) 676-0122,,,,,Whatcom Dispute and Resolution Center,recIdOvt1EPPtMVFl,,,,,,,rec55fwu03JdZqKsg,,
(360) 738-1196,,,,,Whatcom Family and Community Network,recm7v6OkRFOMpVKg,,,,,,,rec1Jk2k84ZaVXeyd,,
(360) 671-3689,,,,,Whatcom Homeschool Association ,recdzNFKTIITHTJ07,,,,,,,recXxOnZYfvNH4vLD,,
(360) 733-5877,,,,,Whatcom Hospice Foundation,rec3HyTzXSE8VcnGP,,,,,,,recH75zVgnQFTXTsB,,
(360) 733-2080,,,,,Whatcom Humane Society ,rec304ONdBixb2oWO,,,,,,,recjAP1z7jjDUNP55,,
(360) 650-9470,,,,,Whatcom Land Trust,recZQefHKF0m81AS6,,,,,,,recW5q93030lJL6q6,,
(360) 752-8678,,,,,Whatcom Literacy Council,rec7CuqPitAovrRPP,,,,,,,recgciQMPxeIgPjjS,,
(360) 398-0223 or 888-360-0223,,,,,Whatcom Self-Help Homes,recWtSIO4TvZyJoeE,,,,,,,rece0LT47YID7hoU7,,
(360) 676-1521,,,,,WorkSource Whatcom,rec7CfN4sm5BVl5Dp,,,,,,,recdkDEVNKyCHPIQ5,,
(360) 734-4820,,,,,YWCA Transitional Housing,recZ2X1rCzzZtbsNT,,,,,,,recsnhr96yUZen9nM,,
