Agency_Id,Program_Id,ProgramContact_ProgramContact,ProgramSystem_LastUpdatereviewDate,ProgramOption_Status,ProgramSystem_Name,ProgramSystem_Description,ProgramSystem_TypeOfFees,ProgramSystem_DocumentsRequired,ProgramSystem_Eligibility,ProgramSystem_ApplicationintakeProcess
5333,6353,"[{""Contact_Id"":2784}]",2021/08/24,"[""Active""]",Little Wishes Enrichment Program,"Blue Skies Enrichment Program includes support for, but not limited to martial arts, dance or ballet, music lessons, art, swimming, ice skating, gymnastics horseback riding lessons, as well as team sports such as basketball, fast pitch, volleyball, soccer, football and so many other activities.",None.,,"Homeless, low-income and foster youth ages 6-18.",You can go to our website and print the Little Wishes application at www.blueskiesforchildren.org or you can call to request an application at 360-756-6710.
5333,9223,"[{""Contact_Id"":2784}]",2021/08/24,"[""Active""]",Back to School Backpack Distribution Program,Distributes new backpacks August 1 through mid September each year. Provide up to five children per family with a backpack.,None.,,Students in Whatcom and Skagit counties.,Call for information. Application form available on website.
5333,10962,"[{""Contact_Id"":2784}]",2021/08/24,"[""Active""]",Instrument Loaner Program,Blue Skies offers an instrument loaner program so that youth can participate in their school band/orchestra without the monthly rental cost of an instrument.,None.,,"Homeless, low-income and foster youth ages 6-18.",Call or visit website and print the instrument loaner program application.
5333,12180,"[{""Contact_Id"":2784}]",2021/08/24,"[""Active""]",Shoe Distribution Program,Partners with community agencies to give children brand new shoes and socks. Spring shoe distribution is scheduled for March / May and Back to School Shoe Give is scheduled for Aug / September.,None.,,"Homeless, low income and foster youth ages 6-18 or graduation, which ever comes first.",Call the office to schedule an appointment.
5333,13104,"[{""Contact_Id"":2784}]",2021/08/24,"[""Active""]",Winter Warm Up Program,"Provides brand new or gently used coats, hats, gloves, scarves and blankets for up to 5 children per family ages 6-18. Generally offered each November and December.",None.,,"Homeless, low income and foster youth ages 6-18 or graduation, whichever comes first, in Whatcom and Skagit Counties.","Call to set an appointment the last week of October, and an application will be mailed."
5356,1720,"[{""Contact_Id"":3835}]",2022/06/20,"[""Active""]",Club Programs,"Camp Fire Classic Club is a co-ed youth development program that serves youth pre-K to 12th grade. They meet weekly, bi-weekly, or monthly throughout the year in both in and outdoor ""classrooms"". Adult leaders and youth create a wide variety of exciting and educational activities, projects, experiences, and events. Camp Fire provides a nurturing, constructive and fun environment for young people to discover their sparks-unique skills, passions, and interests-and adopt a growth mindset.   Club curriculum includes developing a healthy self-image, learning about diversity, exploring new interests, learning about the environment, stimulating creativity and imagination, and how to be a responsible community member.",Call.,,"Ages 3-18, male or female.",Call or email.
5356,6988,"[{""Contact_Id"":3835}]",2022/06/20,"[""Active""]",Summer Camp,"Camp Kirby is a traditional youth camp with emphasis on an outdoor living experience, building self-worth, confidence and individual growth, and having fun in a safe environment.",Vary.,,Open to all children in first through 12th grade.,Visit website.
5446,901,"[{""Contact_Id"":3097}]",2022/06/15,"[""Active""]",Finding Hope,"Provides a share room where community members can receive basic necessities such as clothing, food, and toiletries at no charge. Contact the church office if there is an emergency to arrange a time to visit.",None.,,None.,Call.
5450,6349,"[{""Contact_Id"":4731}]",2021/11/19,"[""Active""]",Lummi Substance Use Disorder Treatment,"Provides education and treatment to Native American families in the area of substance use disorder within a comprehensive outpatient counseling program.  Opiate Substituation Therapy Offers a program that prescribes Suboxone and/or Subutex, to reduce the symptoms of opiate dependence in order to support the ability of abusers to abstain from use of heroin or other opioids.   Alcohol & Drug Information School State-approved instruction fulfills legal requirements for individuals court-referred to attend an Alcohol Drug Information School (ADIS). The educational, 8-hour course provides students with valuable information about alcohol and other drugs. The course is designed to enhance responsible decision-making with regards to alcohol and other drug use. Students are encouraged to explore the effects of alcohol and other drug use on themselves, their families and their world.  Outpatient Treatment Provides outpatient substance use disorder services that usually requires fewer than nine hours per week of attendance, which may include individual and group counseling, 12-step meetings, social and recreational activities, educational and vocational services, life skills training, primary health care, perinatal health care, a program for family members, relapse prevention services, a continuing care program and supportive services (such as child care, transportation and parenting skills development). Length of service can be anywhere between six months to two years depending on the needs of the individual and/or court order.  Intensive Outpatient Treatment  Provides outpatient substance use disorder services that usually requires 9-20 hours per week of attendance, which may include individual and group counseling, 12-step meetings, social and recreational activities, educational and vocational services, life skills training, primary health care, perinatal health care, a program for family members, relapse prevention services, a continuing care program and supportive services (such as child care, transportation and parenting skills development).  Agency provides DBHR-certified service(s).",All services are provided without charge to qualified Native Americans. Accepts WA Apple Health (Medicaid).,,Serves Native Americans who are IHS or WA Apple Health (Medicaid) eligible.,Call for more information or an appointment.
5450,9221,"[{""Contact_Id"":4731}]",2021/11/19,"[""Active""]",Education Department,"The Lummi Nation Education Department oversees Even Start, Head Start, Lummi Tribal School Services (K-8, 9-12) and the Northwest Indian College. The Johnson O'Malley Program provides tutoring and school supplies. The Lummi Tribal School System serves approximately 270 students in Kindergarten through grade 12. The Lummi Tribal School System is approved by the Washington State Board of Education.",Vary.,,Lummi Indian Tribe members.,Call or visit in person.
5450,10960,"[{""Contact_Id"":4731}]",2021/11/19,"[""Active""]",Police Department,Provides full duty law enforcement and tribal fisheries enforcement on the Lummi Indian Reservation.,None.,,None.,Call or visit in person.
5450,12177,"[{""Contact_Id"":4731}]",2021/11/19,"[""Active""]",Food Pantry,Food bank for Lummi area residents only.  (Should also have food for resident's pets.),None.,Proof of address and identification.,For residents only.,Visit in person.
5450,13101,"[{""Contact_Id"":4731}]",2021/11/19,"[""Active""]","Medical, Dental, and Behavioral Health Care","The Center offers general outpatient clinic services. Provides general comprehensive medical and dental, mental health and substance abuse counseling, WIC, family planning, community health outreach (CHR) and health education.",Call for more information.,,Any federally recognized tribal enrollee.,Call for more information.
5450,13822,"[{""Contact_Id"":4731}]",2021/11/19,"[""Active""]",Lummi Crime Victim's Assistance,"Provides legal advocacy, domestic violence shelter, and healing services to those living on the Lummi Reservation and Native American people in Whatcom County. It also provides crisis intervention and information referral. Assistance and advocacy is provided for victims of sexual assault, domestic violence, elder abuse, child abuse, and other crimes.",Call for more information.,,Native American and/or those living on the Lummi Reservation.,Call for more information.
5460,2461,"[{""Contact_Id"":87}]",2021/12/15,"[""Active""]",Cord-Blood Bank,Community cord blood bank provides cells for patients who can't find a matched donor for a bone-marrow transplant.  Can be used to help patients with  -  Anemias -  Bone marrow failure -  Hodgkin's lymphoma -  Immune deficiency disorders -  Leukemia  Transplants of blood cells taken from umbilical cords of newborns are performed.  The bank will also process and store cord blood of siblings of children who might need a transplant.  Cord blood will be available to patients world-wide.   Cord blood can be preserved for 10 years or longer.,None for donations.,,"Mothers over the age of 18, giving birth to one baby (no twins or triplets etc.) at the following participating hospitals: -  Evergreen Hospital -  Madigan Army Medical Center -  NW Hospital and Medical Center -  Oregon Health & Science University -  Overlake Hospital -  Swedish Medical Center (Ballard, First Hill and Issaquah)-  CHI Franciscan -  St. Joseph's Medical Center -  MultiCare (Auburn, Tacoma General, Good Samaritan)",Call for information.
5460,7333,"[{""Contact_Id"":87}]",2020/08/25,"[""Active""]",Hemophilia Program,"Offers medical care, counseling and education for individuals with hemophilia and their families.  The clinics are held at Bloodworks Northwest (Seattle) and at Seattle Children's.  Plans and operates a hemophilia summer camp for families in conjunction with the Bleeding Disorders Foundation of Washington.",Call for information.,,People with hemophilia and their families.,Call for information.
5460,9814,"[{""Contact_Id"":87}]",2021/12/15,"[""Active""]",Blood Donations,Accepts blood donations from screened individuals. Blood donors are encouraged to have an appointment.  The full process of donating blood takes 45 minutes to an hour including the time after the donation when the donor is given juice and cookies.  Volunteers are needed to assist.  Mobile blood donor units are available for mobile donation campaign blood drives at organizations and businesses.,None for donors.,"Documents required: - Photo ID required- ID must have a clear photo and at least first and Last name  There is a questionnaire, short interview and health check with a technician.","Donor must weigh a minimum of 110 lbs, be age 18 or older and meet donor-screening requirements.  Individuals, ages 16 and 17, may donate with parental permission.  Whole blood donations can be given once every 56 days, up to six times per year.","Call for an appointment, or make an appointment online.  If visiting in person, donor will not be served until all donors with appointments have been served."
5460,11376,"[{""Contact_Id"":87}]",2021/12/15,"[""Active""]",Blood Drive Scholarship Program,Offers $500 scholarships to students who host successful blood drives during summer and winter breaks.,None.,,Anyone age 16 and up.,Visit website or email: scholarship@bloodworksnw.org
5496,6201,"[{""Contact_Id"":3909}]",2022/03/22,"[""Active""]",Adult Outpatient Services,"Provides a broad spectrum of counseling services to adult clients who have mental health issues. This service gives the assistance clients need to reduce or manage their mental health symptoms by improving their coping and daily living skills. Services include individual, family, and group therapy, as well as community support services.Intensive outpatient services are available for those with severe and persistent behavioral health disorders to avoid more restrictive levels of service such as psychiatric inpatient hospitalization or residential placement. Once enrolled, the treatment team is available at any time and especially in crisis situations to support individualized treatment needs.",Accepts WA Apple Health (Medicaid).,,"Adults may seek mental health treatment for depression, anxiety, and mood disorders that impede their quality of life as well as more severe or debilitating symptoms associated with trauma, psychosis and schizophrenia.",Call or visit website.
5496,9133,"[{""Contact_Id"":3909}]",2022/03/22,"[""Active""]",Children’s Intensive Outpatient Treatment (WISe),"Supports children and their families in their community in a least restrictive environment using the Wraparound with Intensive Services (WISe) model. Wraparound teams provide comprehensive behavioral health services and supports to Medicaid-eligible individuals, with complex behavioral health needs and their families. The goal of the program is for eligible youth to live and thrive in their homes and communities, as well as to avoid or reduce disruptive out-of-home placements. Assessment, treatment, and support services are provided in the youth and family’s natural setting, where needs and challenges present themselves (such as the home, school and community).",None.,,Youth ages 13-20 with complex behavioral health needs.,Call for an appointment.
5496,10892,"[{""Contact_Id"":3909}]",2022/03/22,"[""Active""]",Mobile Crisis Outreach Team,"Community-based outreach team offers short term crisis intervention and prevention services for  who are experiencing a behavioral health (mental health and/or substance use) crisis. Collaborates with the individual in crisis and their family members to develop a plan to get through the current crisis, manage future crises, and move towards recovery.Provides urgent community response usually within two hours and care planning services for up to two weeks.",None.,,"Adults, adolescents, and children physically located in Skagit, Island, San Juan, and Whatcom counties and is experiencing a behavioral health crisis or is in a pre-crisis situation that seems to be deteriorating, and without intervention, could result in a behavioral health crisis.","Call to speak with a mental health professional who will assess the situation, make appropriate referrals, and/or dispatch the community based outreach team."
5496,12125,"[{""Contact_Id"":3909}]",2022/03/22,"[""Active""]",Child and Family Outpatient Services,"Provide an array of counseling and support services to families with children and youth who may have emotional and/or behavioral challenges.  Works to promote positive changes in behavior, help the child /youth and family learn appropriate coping skills, improve communication skills including learning to resolve conflict and manage emotions in a healthy manner.Offers individual therapy, family therapy, and group therapy using evidenced-based practices as well as case management services to coordinate with schools, Children’s Administration, juvenile justice and other systems that are involved with the particular client.",WA Apple Health (Medicaid).,,"Youth who may have challenges at school, with peers, or in the community as well as problems related to traumatic experiences that impact the child, youth and/or their family.WISe services are for youth ages 13-20.",Call.
5700,728,"[{""Contact_Id"":1037}]",2022/06/20,"[""Active""]",Food Bank,Emergency food and food bank for residents of Washington State mainly serving Whatcom County residents.,None.,,Self attest to TEFAP income guidelines which are currently 400% of poverty.,Visit in person.
5751,2138,"[{""Contact_Id"":752}]",2019/06/03,"[""Active""]",Child Support Enforcement,"Helps families reach and maintain self-sufficiency by:  -  Establishing child support orders -  Enforcing child support obligations -  Modifying orders -  Payment processing through the Washington State Support Registry.   The child support enforcement process is as follows: -  The parent having custody makes application to the state; the state then contacts resources to find the non-custodial parent. The parent, if located, is contacted and payment is requested. -  If payments are not forthcoming, legal action is taken to withhold wages or other appropriate methods are used to collect support. The case may be referred to the County Prosecuting Attorney for legal action, including civil contempt or to establish paternity of child born out of wedlock. -  In accordance with welfare reform laws, DSHS will suspend or deny drivers, professional, recreational and occupational licenses for individuals owing overdue child support or failing to comply with subpoenas or warrants related to paternity or child support proceedings. -  If the state cannot locate the absent parent, then the State Parent Locator Service may send a request to the Federal Parent Locator Service which is authorized by law to obtain address information maintained by other state and federal agencies.   Also enforces medical support, modifies child support orders, and works with other states to collect support on a client's behalf. Cannot help with child custody or visitation disputes, enforcement of community property settlements, collection of attorney's fees or other non-child support related debts.",There may be some nominal fees assessed.,,Individuals who have physical custody of minor children and are seeking support from the non custodial parent.,"Visit website for the application, information about the process and the child support quick estimator.  Service also available at local offices."
5751,15422,"[{""Contact_Id"":752}]",2019/06/03,"[""Active""]",Paternity Establishment,"Determines the paternity of a child in one of three ways:-  Marriage or a registered domestic partnership-  Acknowledgment of parentage-  Court order If a court order is needed, DCS will usually refer the case to a county prosecuting attorney. The county prosecutor acts on behalf of the child and cannot represent the parent in court or provide legal advice. The prosecutor can answer general questions about the parentage case. The county prosecutor will usually serve legal papers upon the possible father or fathers. Often, the prosecutor or the court will require the mother, possible father(s), and the child to submit to genetic tests. The court will then enter an order establishing parentage.","If the prosecutor is establishing parentage in court on a DCS case, the parent will not be charged a filing fee. However there may be other costs associated with establishing parentage in court. If a man is determined to be the father he may be ordered to pay the costs of genetic tests or other court costs.",,The child must be under age 18.,Call for information or visit a local office.
5751,16063,"[{""Contact_Id"":752}]",2019/06/03,"[""Active""]",Alternative Solutions Program,"Helps noncustodial parents meet their child support obligations if they are having difficulty due issues such as joblessness, housing, medical, legal issues, and transition from jail and prison. Links parents with government and community groups to increase their ability to get a job and be financially stable. Case worker will work with the parent to create an action plan that could-  Connect with local partner organizations for help with finding a job, training, housing, food, medical and legal resources-  Help lower the parent's monthly DCS payments or state-owed debt-  Help with license suspension and other case actions.",None.,,Must mave a order to pay child support.,Call or email.
5845,729,"[{""Contact_Id"":1066}]",2021/08/27,"[""Active""]",Food Support,Operates a food pantry with curbside service only. Some outside shopping available. One bag of produce per order. Food also available for people with no cars.,None.,"Bring an ID, bill, information from the school district or other documentation that proves Lynden residency.",Must live within the boundaries of the Lynden School District. Residents may visit once per week.,Fill out an application in person.
5845,20049,"[{""Contact_Id"":1066}]",2021/08/27,"[""Active""]",Community Assistance,"Helps community members with short-term, emergency assistance. Offers utility assistance which helps with gas, electric and water bills as well as Puget Sound Energy bills. Can also help with partial rental payments, clothing and household items and laundry vouchers. Provides transportation assistance by providing bus passes, gas vouchers and helping with car repairs.",None.,"Bring an ID, bill, information from the school district or other documentation that proves Lynden residency.","Residents of the Lynden School District who are in need.For Puget Sound Energy Assistance, bill must say Urgent, Final, or Disconnect",Call or email to set up an appointment.
5846,3074,"[{""Contact_Id"":4149}]",2022/08/17,"[""Active""]",Food Bank,"The Ferndale Food Bank serves our low income seniors, neighbors, and those in crisis living in the Ferndale/Custer, WA area. Single individuals and families can visit once a week for as long as assistance is needed.",None.,"Please bring a piece of identification (simply your photo with your name) and a Ferndale or Custer area utility bill containing your address with a zip code 98226, 98230, 98231, 98240, or 98248.","Must live in the Ferndale or Custer area, and MUST be in line before 11am to get a line number before closing.",Visit in person.
5874,4445,"[{""Contact_Id"":3550}]",2022/08/23,"[""Active""]",Employment & Education Support,Connects youth in person or remotely with an education and employment coordinator to build a plan that focuses on their individual goals.  For employment goals this can include:,None.,,Youth who are experiencing or at risk of homelessness.,Call.
5874,4730,"[{""Contact_Id"":3550}]",2022/08/23,"[""Active""]",Rental Assistance for Young Adults,Provides rental assistance to young adults currently behind on a payment to your landlord or foresee financial hardship in the near future.  Program is funded through the Washington State Department of Commerce as a response to the Covid-19 pandemic.,None.,,Whatcom and Skagit County residents ages 18-24.,Call.
5874,10152,"[{""Contact_Id"":3550}]",2022/08/23,"[""Active""]",Transitional Living Program,"Offers an independent living program for homeless single or parenting youth and young adults. Provides an apartment for up to 18 months, help finding a job and access to health/support services",None.,,Homeless and between the ages of 18-21 years old or ages 16-17 emancipated youth.,Fill out an application and meet with a Program Coordinator in Skagit or Whatcom County.
5874,14143,"[{""Contact_Id"":3550}]",2022/08/23,"[""Active""]",HUSLY Shelter (Housing Under Served Low-Income Youth),"Operates two youth shelters, one located in Bellingham and another in Mount Vernon. Offers four beds at each location where young adults can stay for up to 90 days. Provides food, a bed, showers, and staff support. Youth work with a case manager to evaluate their longer-term housing options. Youth also have access to other agency support services such as employment and education support.",None.,,Homeless youth in Whatcom and Skagit counties ages 18-24.,Fill out an application and meet with a Housing Case Manager or Program Coordinator.
5874,15102,"[{""Contact_Id"":3550}]",2022/08/23,"[""Active""]",The PAD,"The Positive Adolescent Development (PAD) Program is an emergency housing program providing housing for 13-17 year olds.  In this program, you work with a case manager to create a plan for obtaining stable housing before you exit.  This program provides shelter, food, fun activities and school enrollment services.",None.,,13-17 years old.,24 hour access at 1020 North State Street OR call (360) 393-0116. Staff are on-site 24 hours a day to talk to you and help you work on your goals.
5945,6569,"[{""Contact_Id"":1810}]",2021/08/31,"[""Active""]",Volunteer Opportunities,"Volunteers are the heart of Habitat for Humanity and is a great way to get involved in your community and to make new friends. Habitat for Humanity Whatcom County brings together individuals and groups from all backgrounds to work to ensure that all families in need have a decent, affordable home.   We would love your help both on and off the jobsite.",None.,,Visit website for information.,Visit website.
5945,9358,"[{""Contact_Id"":1810}]",2021/08/31,"[""Active""]",Housing Help,"Volunteers build houses for low-income families who have been chosen on the basis of need for adequate shelter.  Selected families must contribute 500 hours of sweat equity on the construction of the house which is then sold to them through a no profit, no interest mortgage.  From the time a family is selected, to the time the project is completed, can be as long as one and 1/2 years.Provides limited help for home repairs if the homeowner can contribute Sweat Equity hours representative of the size of the project.",Vary.,,Must have lived in Whatcom County for the past year.Income must be between 30-60% of the Area Median Income.Must currently live in substandard housing.,Call or visit website.
5945,11056,"[{""Contact_Id"":1810}]",2021/08/31,"[""Active""]",Habitat Store and Donations,"Gently used furniture and appliances (sometimes new) and lots of building supplies, like used cabinets, sinks, flooring, trim, windows, doors, etc.  Donations accepted.  Check store for items accepted and to arrange pick up.",Vary.,,None.,Call or visit in person.
5973,3323,"[{""Contact_Id"":2266}]",2022/06/15,"[""Active""]",Building Materials Salvage and Re-Sell,"Works with contractors throughout Western Washington to remove materials from a wide variety of sites. Specializes in whole-house ""deconstruction,"" which in many cases is more economical than regular demolition and recycles more than 75% of the structure. Operates a fully licensed and bonded general contractor salvage crew. Accepts select materials from the public as either a tax-deductible contribution or in trade for other materials. Offers a pick-up service for contractors and households that have materials already removed and ready to go. Sells building supply materials in retail store.   Won't take anything with asbestos, florescent bulbs, hollow core doors, appliances over five years old, and molding or trim shorter than six feet. Won't accept paint.",Vary.,,None.,Call.
5984,2130,"[{""Contact_Id"":752}]",2021/07/08,"[""Active""]",Financial Assistance,"Provides financial assistance to Washington residents in need who meet eligibility requirements.Temporary Assistance for Needy Families (TANF/WorkFirst): -  Provides monthly cash grants and medical assistance to eligible low-income families with minor children in the home. -  Applicants attend a WorkFirst orientation and eligibility interview.  -  Pregnant and parenting minors may be eligible for TANF benefits if they meet additional eligibility requirements, as determined by a DSHS social worker.  -  Adults may also be eligible for WorkFirst support, which will pay for items clients must have in order to look for work, prepare for work or accept a better job. -  Assistance may include transportation, car repairs, interview and work clothes, licenses and tools and equipment.  -  Assistance will be provided via vouchers or pre-paid merchant cards.   Aged Blind and Disabled (ABD): -  Provides financial assistance for people with a long-term or permanent disability, or who are blind, or who are age 65 or older and meet income and resource requirements.    Emergency Assistance:-  TANF, Workfirst, SFA and RCA clients may apply for supplemental financial assistance when faced with an emergency caused by circumstances out of their control.  -  Funding may be approved for eviction notices; electric, gas, heating fuel, water/sewer or telephone utility shut-off notices; or deposit move-in costs for homeless individuals and families.  -  Includes Additional Requirements for Emergent Needs (AREN). AREN payments may be made up to a maximum of $750 in a 12-month period.  -  Also includes WorkFirst support services, which helps with rent, mortgage, taxes, insurance, utilities, moving costs, all housing-related fees, hookup fees, refundable and non-refundable deposits, and temporary housing for households participating in WorkFirst. Up to $5,000 is available in a 12-month period.Pregnant Women's Assistance:-  Provides financial assistance for pregnant women who are not eligible for TANF but meet TANF income and resource requirements.Diversion Cash Assistance (DCA): -  Provides a cash grant program designed to prevent households with children from having to enroll in public assistance, by assisting with living expenses for needs such as:-  Housing-  Transportation-  Child care-  Food and employment-related expenses.  Clients may be referred to DSHS non-cash programs such as food stamps.Staff may also refer to other social service programs including domestic violence services, clothing banks, food pantries, etcHousing and Essential Needs (HEN): -  Provides housing and essential needs vouchers for adults who have a shorter-term disability and meet income and resource requirements.  Refugee Cash Assistance (RCA): -  Cash assistance is available to refugees with no minor children for the first eight months after their arrival.  -  Refugees with minor children are likely eligible for TANF.  State Family Assistance: -  Cash assistance program established for legal immigrants with dependent children who are ineligible for TANF because of immigrant status.",None.,,Contact a local Community Service Office (CSO) for specific eligibility requirements.,"Call, go to website or visit any CSO to obtain an application.  After online or paper application is received, DSHS will send a letter regarding interview requirements. DSHS clients who need emergency financial assistance should talk to their case manager.  Note: Phone line has a callback feature (virtual hold) where callers can enter their phone number and expect a return call when their turn comes up in the queue. It is possible that callers may speak with more than one person. The first will be a navigator who will triage the call to determine if the navigator would be the best person to assist the caller, or if there would be someone better qualified to meet the caller's need.Starting Nov. 15, customers can access the following services from CSO lobbies:• Information and referral provided by office Navigators from 8 a.m. to 5 p.m.• Electronic Benefit Transfer cards, preauthorized bus passes and gas cards from 10 a.m. to 2 p.m.• Consent and Interim Assistance Reimbursement Agreement forms for the ABD applicationprocess, when the individual has general delivery mail services or participates in the AddressConfidentiality Program from 10 a.m. to 2 p.m.• Preauthorized WorkFirst support service vouchers from 8 a.m. to 4:30 p.m.• Verification such as a copy of photo ID, DSHS letters or receipt of public assistance, to apply for areduced-price ID card with the Dept. of Licensing, from 8 a.m. to 5 p.m.• Customers who do not have access to a phone may use the CSO lobby phones from 8 a.m. to 4p.m. to connect directly to the Customer Service Contact Center.• Customers who do not have access to a computer may use CSO lobby computers to accessWashingtonConnection.org online services from 8 a.m. to 5 p.m.In order to provide a safe environment for both customers and our staff, self-screening against COVID-19 symptoms, signing in, physical distancing, and masking will be required."
5984,5341,"[{""Contact_Id"":752}]",2021/07/08,"[""Active""]",Community Services Division Constituent Relations,"Provides a fair and courteous process for resolving complaints and concerns relating to program assistance provided by the DSHS Community Services Division, such as cash, food, Housing and Essential Needs referral, and Medicaid for people who are 65 and older, blind or disabled, receiving SSI or eligible for Medicare. Addresses concerns and provides information about services and programs and how to access them.",None.,,No restrictions.,Call.
5984,5694,"[{""Contact_Id"":752}]",2021/07/08,"[""Active""]",Welfare Fraud Reporting,"Identifies and eliminates welfare fraud by clients or providers.  -  Clients commit fraud when they have unreported income, assets or dependents or if they give an incorrect address or receive benefits under false or multiple names.  -  Medicaid providers commit fraud by billing for services not performed or by performing unnecessary services, by paying another Medicaid provider for referrals or inflating costs. Those wishing to report fraud can choose to remain anonymous.",None.,,No restrictions.,Call the fraud hotline or submit an complaint via the website.
5984,5828,"[{""Contact_Id"":752}]",2021/07/08,"[""Active""]",Online Benefits Application,"Provides the ability to check for various DSHS services and programs that may be available or to find out more information on resources in the community.  Offers the option of applying for some programs directly on the site. The ""Am I Eligible?"" screening asks high level questions about the members in the home and their income, resources and expenses to see what benefits might be available. The online application, ""Apply Now"" goes into more detail as part of the application for some programs. Users can also register an account on the site, which will allow them to complete online Eligibility Reviews, report changes and see information about their case.",None.,,No restrictions.,Visit website.
5984,5957,"[{""Contact_Id"":752}]",2021/07/08,"[""Active""]",Washington State ID Card Assistance,"Assists recipients of DSHS public assistance with obtaining a Washington State Identicard at a reduced cost from the Department of Licensing.DSHS public assistance clients will need to get a ""Request for Identicard form"" completed by DSHS to take to DOL. The client will then need to take the form to DOL, along with required evidence of identity as requested by DOL, and $5 to apply for the Identicard. The $5 is the cost to produce the card. Washington State Identification cards regularly cost $54 for a first-time or renewal, $20 for a replacement, or $10 for an address change.",Card: $5.,,"Anyone receiving public assistance from DSHS, including financial assistance as well as food assistance.Individuals under age 25 who do not have a permanent residence address do not need the DSHS letter. They can attest to their eligibility at time of ID issuance at the driver licensing office.",Call or visit any Community Service Office.
5984,8552,"[{""Contact_Id"":752}]",2021/07/08,"[""Active""]",EBT Card Services,"Contracts with JP Morgan to provide EBT card services. If clients lose or damage their card, they need to call to request that a replacement be mailed, or they can visit in person at a CSO to request that a replacement card be mailed to their address. The vendor turnaround time is one to two business days.",None.,,Washington state residents who need a replacement EBT card.,Call for a new card or visit a community service office. Clients meeting the following criteria may receive a replacement card in the office: -  Has a general delivery address -  Resides in a domestic violence shelter -  The CSO made a mistake causing the card to be mailed to an incorrect address -  The client’s card was destroyed in a natural disaster -  JP Morgan Chase received the mailed card back via return mail -  Case is closed and benefits remain on the account
5984,8640,"[{""Contact_Id"":752}]",2021/07/08,"[""Active""]",Additional Lifeline Phone Minutes,Partners with Lifeline mobile phone service providers to help program recipients continue their existing Lifeline mobile phone service when they are in need of additional cell phone minutes. Currently there is no maximum amount of additional minutes clients can receive each month. Each provider has a different amount of minutes assigned per PIN issued but clients are able to get as many new PINs as they need. The federal Lifeline program provides free mobile phones and a monthly allotment of cell phone minutes to people with limited incomes.,None.,,"Must have a Lifeline cell phone plan through Assurance, Access, Q Link, Safelink or TerraCom and be in need of additional minutes.",Call or visit Community Service Office in person.Program recipients will receive a unique PIN to redeem for more cell phone minutes. Any PINs issued must be picked up in person at a local CSO.
5984,12400,"[{""Contact_Id"":752}]",2021/07/08,"[""Active""]",Washington Basic Food Program,"Helps low-income individuals and families obtain a more nutritious diet by supplementing their income with Basic Food benefits. Monthly benefit amounts vary based on the number of people living in the household, income, and living expenses such as rent, mortgage, utilities, childcare and child support. Provides an ATM/debit-like card used to access food benefits to eligible low-income households.  Food Stamp guidelines are as follows:  1. Exempt goods that may not be purchased with food stamps: -  Cigarettes -  Pet food -  Non-edible household items -  Alcoholic beverages  -  Food purchased at a restaurant2. Time limits: Benefits do not expire and may be used at any time.  3. Expedited service: Households defined as destitute and having little net monthly income or resources may be eligible for expedited service, i.e. they may be able to pick up their benefits no later than the fifth day following application if they are eligible for benefits.  Disaster Food Benefits: DSHS can replace EBT benefits for recipients of Washington's Basic Food program if food was lost due to a declared disaster.For DSHS to replace the benefits, the customer must report the loss within 10 days from the date the loss occurred. DSHS will replace the value of the amount of food lost in the disaster, up to the total amount of the customer's monthly allotment of Basic Food.",None.,"-  Proof of income (earned and unearned) -  Proof of living expenses -  Proof of child support expenses -  Proof of resources (anything that can be sold, traded, or converted into cash) and cash on hand","Individuals residing in Washington state who meet income, resource and citizenship/alien status requirements.Income must be at or below 200% of the Federal Poverty Level.","Call, go to website or visit any CSO to obtain an application.  After online or paper application is received, a letter will be sent regarding interview requirements. Must be able to provide a Social Security number for everyone on the application."
5984,14958,"[{""Contact_Id"":752}]",2021/07/08,"[""Active""]",Medicare Savings,Helps low-income Medicare recipients pay for their Medicare Part A and Part B premiums. Pays the co-payments and deductibles as well for very low-income Medicare beneficiaries.,None.,,Washington state residents receiving Medicare. -  Must be at or below 100% of the Federal Poverty Level for the most assistance.Part B premium assistance only: -  Must be at or below 135% of the Federal Poverty Level.Part A premium assistance only:Available to individuals with disabilities who are at 200% of the Federal Poverty Level,"Call, visit website or visit any CSO to apply."
5984,15461,"[{""Contact_Id"":5251}]",2021/02/26,"[""Active""]",Career Path Services,"Offers 6 months- 1 year course providing assistance with gaining current, hands-on work experiences; acquire new skills; guidance with resume, cover letter, and applications for employment; targeted job searching assistance; case management services; assistance with removing issues that hindered finding/keeping employment.Training schedule is set up individually, usually taking place 4-5 days during the week for 4-5 hours.",None.,,Referral must take place through DSHS WorkFirst Case Manager. Program is for those currently on TANF (receiving cash benefits from Washington State).,"Orientation takes place weekly, contact DSHS worker to be signed up."
5984,15959,"[{""Contact_Id"":752}]",2021/07/08,"[""Active""]",Employment Pipeline,"Voluntary program helps DSHS clients find and keep gainful employment.Navigators helps clients access education, employment and training services that are provided by workforce development partners.Navigators also stay in touch with participants for one year after becoming employed, assisting with any needs that may arise.",None.,,DSHS clients.,Call for more information
