Agency_Id,Service_Id,ServiceContact_ServiceContact,ServiceSystem_DateOfLastCompleteUpdate,ServiceOption_Status,ServiceOption_WebsiteVisibility,ServiceAccount_ServiceAccount_Both,ServiceAccount_ServiceAccount,ServiceOption_CallCenterList,ServiceSystem_Name,ServiceCustom_Wa211serviceAffectedByCovid19,ServiceCustom_WaPhoneworkerNote,ServiceSystem_Description,ServiceSystem_PhoneMain,ServiceCustom_Phone1Ext,ServiceCustom_Phone1Description,ServiceSystem_EmailAddress,ServiceSystem_Websiteurl,ServiceProgram_ServiceProgram_Both,ServiceProgram_ServiceProgram,ServiceSite_ServiceSite_Both,ServiceSite_ServiceSite,ServiceHoursofoperation_ModuleHoursofoperation,ServiceOption_DaysOfTheWeek,ServiceOption_HoursOfService,ServiceCustom_Wa211viewHoursStyle,ServiceSystem_HoursOfOperation,ServiceTaxonomy_ModuleServicepost,ServiceGeotagus_ServiceGeotagus,ServiceCustom_ServiceAka,ServiceCustom_Wa211HoursStyleGuide,ServiceCustom_Wa211HoursStyle,ServiceOption_FocusPopulations,ServiceOption_AgeGroups,ServiceOption_DisabilitiesHealthConditions
6701,21072,"[{""Contact_Id"":752}]",2019/09/06,"[""Active""]","[""Show Service""]","[{""Account_Id"":35,""Name"":""Kelly Schwab <peninsulas211+datamanager@gmail.com>""}]","[{""Account_Id"":35}]","[""PE211""]","Adoption offered by Washington State Department of Children, Youth, and Families in Forks",,,"Recruits and screens families interested in adopting children who are in the care and custody of the Department of Children, Youth, and Families.",360-374-3530,,Daytime Intake,julie.pettit@dcyf.wa.gov,https://www.dcyf.wa.gov/services/adoption,"[{""Program_Id"":12405,""Name"":""Adoption""}]","[{""Program_Id"":12405}]","[{""Site_Id"":10319,""Name"":""Washington State Department of Children, Youth, and Families in Forks""}]","[{""Site_Id"":10319}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Wednesday"",""Tuesday"",""Thursday"",""Monday"",""Friday""]",,,"M-F, 8am-4:30pm. Intake: 24 hours daily.","[{""taxonomy_code"":""PH-0300.8100-800""},{""taxonomy_code"":""PH-0300.0350""}]","[{""scope"":""county"",""county"":""Clallam"",""state"":""WA""}]","Adoption offered at Washington State Department of Children, Youth, and Families - Forks",,,,,
6701,21075,"[{""Contact_Id"":752}]",2019/09/06,"[""Active""]","[""Show Service""]","[{""Account_Id"":35,""Name"":""Kelly Schwab <peninsulas211+datamanager@gmail.com>""}]","[{""Account_Id"":35}]","[""PE211""]","Child Protective Services offered by Washington State Department of Children, Youth, and Families in Forks",,,Investigates reports of child abuse and neglect. Assesses reports to determine whether the report meets the legal definition of abuse or neglect and how dangerous the situation is.,888-713-6115,,Daytime Intake,,https://www.dcyf.wa.gov/safety/report-abuse,"[{""Program_Id"":11254,""Name"":""Child Protective Services""}]","[{""Program_Id"":11254}]","[{""Site_Id"":10319,""Name"":""Washington State Department of Children, Youth, and Families in Forks""}]","[{""Site_Id"":10319}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Saturday"",""Sunday"",""Wednesday"",""Tuesday"",""Thursday"",""Monday"",""Friday""]",,,"M-F, 8am-4:30pm. Intake: 24 hours daily.","[{""taxonomy_code"":""RP-1500.1400-150""},{""taxonomy_code"":""PH-6500.1500""},{""taxonomy_code"":""FT-6940.1500""},{""taxonomy_code"":""FT-3000.1750""}]","[{""scope"":""county"",""county"":""Clallam"",""state"":""WA""}]","Child Protective Services offered at Washington State Department of Children, Youth, and Families - Forks, cps",,,,,
6701,21106,"[{""Contact_Id"":752}]",2019/09/06,"[""Active""]","[""Show Service""]","[{""Account_Id"":35,""Name"":""Kelly Schwab <peninsulas211+datamanager@gmail.com>""}]","[{""Account_Id"":35}]","[""PE211""]","Child Welfare Services offered by Washington State Department of Children, Youth, and Families in Forks",,,Provides intensive treatment services to keep children and youth safely at home or to more quickly achieve safe reunification or other permanency when children and youth must be placed away from their parents.,360-374-3530,,Daytime Intake,,https://www.dcyf.wa.gov/services/child-welfare-system/cps,"[{""Program_Id"":9658,""Name"":""Child Welfare Services""}]","[{""Program_Id"":9658}]","[{""Site_Id"":10319,""Name"":""Washington State Department of Children, Youth, and Families in Forks""}]","[{""Site_Id"":10319}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Friday"",""Monday"",""Saturday"",""Sunday"",""Thursday"",""Tuesday"",""Wednesday""]",,,"M-F, 8am-4:30pm. Intake: 24 hours daily.","[{""taxonomy_code"":""PH-2360.3300""},{""taxonomy_code"":""PH-2360.2350""}]","[{""scope"":""county"",""county"":""Clallam"",""state"":""WA""},{""scope"":""county"",""county"":""Jefferson"",""state"":""WA""}]","Child Welfare Services offered at Washington State Department of Children, Youth, and Families - Forks",,,,,
6701,21107,"[{""Contact_Id"":752}]",2019/09/06,"[""Active""]","[""Show Service""]","[{""Account_Id"":35,""Name"":""Kelly Schwab <peninsulas211+datamanager@gmail.com>""}]","[{""Account_Id"":35}]","[""PE211""]","Family Reconciliation Services offered by Washington State Department of Children, Youth, and Families in Forks",,,Provides crisis intervention services for families with youth ages 12-17 who have run away or who are in serious conflict with their families.,866-764-2233,,Daytime Intake,,https://www.dcyf.wa.gov/services/at-risk-youth/frs,"[{""Program_Id"":7109,""Name"":""Family Reconciliation Services""}]","[{""Program_Id"":7109}]","[{""Site_Id"":10319,""Name"":""Washington State Department of Children, Youth, and Families in Forks""}]","[{""Site_Id"":10319}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Friday"",""Monday"",""Saturday"",""Sunday"",""Thursday"",""Tuesday"",""Wednesday""]",,,"M-F, 8am-4:30pm. Intake: 24 hours daily.","[{""taxonomy_code"":""RR-5150.5000-700""}]","[{""scope"":""county"",""county"":""Clallam"",""state"":""WA""},{""scope"":""county"",""county"":""Jefferson"",""state"":""WA""}]","Family Reconciliation Services, Washington State Department of Children, Youth, and Families - Forks, frs, dcyf",,,,,
6701,21108,"[{""Contact_Id"":752}]",2017/07/23,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]","Adoption offered by Washington State Department of Children, Youth, and Families in Mount Vernon",,,"Recruits and screens families interested in adopting children who are in the care and custody of the Department of Children, Youth, and Families.",866-829-2153,,,julie.pettit@dcyf.wa.gov,https://www.dcyf.wa.gov/services/adoption,"[{""Program_Id"":12405,""Name"":""Adoption""}]","[{""Program_Id"":12405}]","[{""Site_Id"":10138,""Name"":""Washington State Department of Children, Youth, and Families in Mount Vernon""}]","[{""Site_Id"":10138}]","{""open"":{""Monday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Friday"":[[[8,0],[16,30]]]},""closed"":[]}","[""Friday"",""Monday"",""Thursday"",""Tuesday"",""Wednesday""]",,,"M-F, 8am-4:30pm. Intake: 24 hours daily.","[{""taxonomy_code"":""PH-0300.8100-800""},{""taxonomy_code"":""PH-0300.0350""}]","[{""scope"":""county"",""county"":""Skagit"",""state"":""WA""}]","DSHS - DCFS - Skagit County, Child Protective Services, CPS, Adoption Services - Special Needs Children, DCFS - Mount Vernon",,,,,
6701,21109,"[{""Contact_Id"":752}]",2017/07/23,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]","Adoption offered by Washington State Department of Children, Youth, and Families in Everett",,,"Recruits and screens families interested in adopting children who are in the care and custody of the Department of Children, Youth, and Families.",866-829-2153,,,julie.pettit@dcyf.wa.gov,https://www.dcyf.wa.gov/services/adoption,"[{""Program_Id"":12405,""Name"":""Adoption""}]","[{""Program_Id"":12405}]","[{""Site_Id"":10139,""Name"":""Washington State Department of Children, Youth, and Families in Everett""}]","[{""Site_Id"":10139}]","{""open"":{""Monday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Friday"":[[[8,0],[16,30]]]},""closed"":[]}","[""Friday"",""Monday"",""Thursday"",""Tuesday"",""Wednesday""]",,,"M-F, 8am-4:30pm. Intake: 24 hours daily.","[{""taxonomy_code"":""PH-0300.8100-800""},{""taxonomy_code"":""PH-0300.0350""}]","[{""scope"":""county"",""county"":""Snohomish"",""state"":""WA""}]","DSHS - DCFS - Snohomish County, Child Protective Services, CPS, Adoption Services - Special Needs Children, DCFS - Everett",,,,,
6701,21110,"[{""Contact_Id"":752}]",2017/07/23,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]","Adoption offered by Washington State Department of Children, Youth, and Families in Lynnwood",,,"Recruits and screens families interested in adopting children who are in the care and custody of the Department of Children, Youth, and Families.",866-829-2153,,,julie.pettit@dcyf.wa.gov,https://www.dcyf.wa.gov/services/adoption,"[{""Program_Id"":12405,""Name"":""Adoption""}]","[{""Program_Id"":12405}]","[{""Site_Id"":10326,""Name"":""Washington State Department of Children, Youth, and Families in Lynnwood""}]","[{""Site_Id"":10326}]","{""open"":{""Monday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Friday"":[[[8,0],[16,30]]]},""closed"":[]}","[""Friday"",""Monday"",""Thursday"",""Tuesday"",""Wednesday""]",,,"M-F, 8am-4:30pm. Intake: 24 hours daily.","[{""taxonomy_code"":""PH-0300.8100-800""},{""taxonomy_code"":""PH-0300.0350""}]","[{""scope"":""county"",""county"":""Snohomish"",""state"":""WA""}]","DSHS - DCFS - Snohomish County, Child Protective Services, CPS, Adoption Services - Special Needs Children, DCFS - Lynnwood",,,,,
6701,21112,"[{""Contact_Id"":752}]",2017/07/23,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]","Adoption offered by Washington State Department of Children, Youth, and Families in Smokey Point",,,"Recruits and screens families interested in adopting children who are in the care and custody of the Department of Children, Youth, and Families.",866-829-2153,,,julie.pettit@dcyf.wa.gov,https://www.dcyf.wa.gov/services/adoption,"[{""Program_Id"":12405,""Name"":""Adoption""}]","[{""Program_Id"":12405}]","[{""Site_Id"":10403,""Name"":""Washington State Department of Children, Youth, and Families in Smokey Point""}]","[{""Site_Id"":10403}]","{""open"":{""Monday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Friday"":[[[8,0],[16,30]]]},""closed"":[]}","[""Friday"",""Monday"",""Thursday"",""Tuesday"",""Wednesday""]",,,"M-F, 8am-4:30pm. Intake: 24 hours daily.","[{""taxonomy_code"":""PH-0300.8100-800""},{""taxonomy_code"":""PH-0300.0350""}]","[{""scope"":""county"",""county"":""Snohomish"",""state"":""WA""}]","DSHS - DCFS - Snohomish County, Child Protective Services, CPS, Adoption Services - Special Needs Children, DCFS - Smokey Point",,,,,
6701,21113,"[{""Contact_Id"":752}]",2017/07/23,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]","Adoption offered by Washington State Department of Children, Youth, and Families in Bellingham",,,"Recruits and screens families interested in adopting children who are in the care and custody of the Department of Children, Youth, and Families.",866-829-2153,,,julie.pettit@dcyf.wa.gov,https://www.dcyf.wa.gov/services/adoption,"[{""Program_Id"":12405,""Name"":""Adoption""}]","[{""Program_Id"":12405}]","[{""Site_Id"":10140,""Name"":""Washington State Department of Children, Youth, and Families in Bellingham""}]","[{""Site_Id"":10140}]","{""open"":{""Monday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Friday"":[[[8,0],[16,30]]]},""closed"":[]}","[""Friday"",""Monday"",""Thursday"",""Tuesday"",""Wednesday""]",,,"M-F, 8am-4:30pm. Intake: 24 hours daily.","[{""taxonomy_code"":""PH-0300.8100-800""},{""taxonomy_code"":""PH-0300.0350""}]","[{""scope"":""county"",""county"":""Whatcom"",""state"":""WA""}]","DSHS - DCFS - Whatcom County, CPS, Adoption Services - Special Needs Children, DCFS - Bellingham",,,,,
6701,21179,"[{""Contact_Id"":752}]",2018/05/17,"[""Active""]","[""Show Service""]","[{""Account_Id"":27,""Name"":""Norma Mendoza <nmendoza@pfp.org>""}]","[{""Account_Id"":27}]","[""GC211""]","Child Protective Services offered by Washington State Department of Children, Youth, and Families in Yakima",,,Investigates reports of child abuse and neglect. Assesses reports to determine whether the report meets the legal definition of abuse or neglect and how dangerous the situation is.,509-225-6556,,Daytime Intake,,https://www.dcyf.wa.gov/safety/report-abuse,"[{""Program_Id"":11254,""Name"":""Child Protective Services""}]","[{""Program_Id"":11254}]","[{""Site_Id"":10195,""Name"":""Washington State Department of Children, Youth, and Families in Yakima""}]","[{""Site_Id"":10195}]","{""open"":{""Monday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Friday"":[[[8,0],[16,30]]]},""closed"":[]}","[""Saturday"",""Sunday"",""Wednesday"",""Tuesday"",""Thursday"",""Monday"",""Friday""]",,,"M-F, 8am-4:30pm. Intake: 24 hours daily.","[{""taxonomy_code"":""RP-1500.1400-150""},{""taxonomy_code"":""PH-6500.1500""},{""taxonomy_code"":""FT-6940.1500""},{""taxonomy_code"":""FT-3000.1750""}]","[{""scope"":""county"",""county"":""Yakima"",""state"":""WA""}]","DSHS Region 1 - Yakima Office of Division of Children and Family Services, CPS, DCFS - Yakima, Child Protective Services,   (DSHS Region 1 - Yakima Office of Division of Children and Family Services)",,,,,
6701,21193,"[{""Contact_Id"":752}]",2017/10/17,"[""Active""]","[""Show Service""]","[{""Account_Id"":27,""Name"":""Norma Mendoza <nmendoza@pfp.org>""}]","[{""Account_Id"":27}]","[""GC211""]","Child Protective Services offered by Washington State Department of Children, Youth, and Families in Goldendale",,,Investigates reports of child abuse and neglect. Assesses reports to determine whether the report meets the legal definition of abuse or neglect and how dangerous the situation is.,509-773-7475,,Daytime Intake,,https://www.dcyf.wa.gov/safety/report-abuse,"[{""Program_Id"":11254,""Name"":""Child Protective Services""}]","[{""Program_Id"":11254}]","[{""Site_Id"":10213,""Name"":""Washington State Department of Children, Youth, and Families in Goldendale""}]","[{""Site_Id"":10213}]","{""open"":{""Monday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Friday"":[[[8,0],[16,30]]]},""closed"":[]}","[""Saturday"",""Sunday"",""Friday"",""Monday"",""Thursday"",""Tuesday"",""Wednesday""]",,,"M-F, 8am-4:30pm. Intake: 24 hours daily.","[{""taxonomy_code"":""RP-1500.1400-150""},{""taxonomy_code"":""PH-6500.1500""},{""taxonomy_code"":""FT-6940.1500""},{""taxonomy_code"":""FT-3000.1750""}]","[{""scope"":""county"",""county"":""Klickitat"",""state"":""WA""}]","DSHS Region 1 - Goldendale Office of Division of Children and Family Services, CPS, DCFS Goldendale, Adoption,  (DSHS Region 1 - Goldendale Office of Division of Children and Family Services)",,,,,
6701,21195,"[{""Contact_Id"":752}]",2021/12/28,"[""Active""]","[""Show Service""]","[{""Account_Id"":33,""Name"":""Sarah Teague <saraht@uwpc.org>""}]","[{""Account_Id"":33}]","[""SS211""]","Adoption offered by Washington State Department of Children, Youth, and Families in Lakewood",,,"Recruits and screens families interested in adopting children who are in the care and custody of the Department of Children, Youth, and Families.",253-985-4900,,Daytime Intake,julie.pettit@dcyf.wa.gov,https://www.dcyf.wa.gov/services/adoption,"[{""Program_Id"":12405,""Name"":""Adoption""}]","[{""Program_Id"":12405}]","[{""Site_Id"":10307,""Name"":""Washington State Department of Children, Youth, and Families in Lakewood""}]","[{""Site_Id"":10307}]","{""open"":{""Monday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Friday"":[[[8,0],[16,30]]]},""closed"":[]}","[""Wednesday"",""Tuesday"",""Thursday"",""Monday"",""Friday""]",,,"M-F, 8am-4:30pm. Intake: 24 hours daily.","[{""taxonomy_code"":""PH-0300.0350""},{""taxonomy_code"":""PH-0300.8100-800""}]","[{""scope"":""county"",""county"":""Pierce"",""state"":""WA""}]","Adoption offered at Washington State Department of Children, Youth, and Families - Lakewood, DCYF, Department of Children, Youth & Families",,,,,
6701,21210,"[{""Contact_Id"":752}]",2017/11/13,"[""Active""]","[""Show Service""]","[{""Account_Id"":27,""Name"":""Norma Mendoza <nmendoza@pfp.org>""}]","[{""Account_Id"":27}]","[""GC211""]","Child Protective Services offered by Washington State Department of Children, Youth, and Families in Clarkston",,,Investigates reports of child abuse and neglect. Assesses reports to determine whether the report meets the legal definition of abuse or neglect and how dangerous the situation is.,509-751-4686,,Daytime Intake,,https://www.dcyf.wa.gov/safety/report-abuse,"[{""Program_Id"":11254,""Name"":""Child Protective Services""}]","[{""Program_Id"":11254}]","[{""Site_Id"":10247,""Name"":""Washington State Department of Children, Youth, and Families in Clarkston""}]","[{""Site_Id"":10247}]","{""open"":{""Monday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Friday"":[[[8,0],[16,30]]]},""closed"":[]}","[""Saturday"",""Sunday"",""Wednesday"",""Tuesday"",""Thursday"",""Monday"",""Friday""]",,,"M-F, 8am-4:30pm. Intake: 24 hours daily.","[{""taxonomy_code"":""RP-1500.1400-150""},{""taxonomy_code"":""PH-6500.1500""},{""taxonomy_code"":""FT-6940.1500""},{""taxonomy_code"":""FT-3000.1750""}]","[{""scope"":""county"",""county"":""Asotin"",""state"":""WA""},{""scope"":""county"",""county"":""Garfield"",""state"":""WA""}]","DSHS Region 1 - Clarkston Office of Division of Children and Family Services, CPS, DCFS - Clarkston, Adoption, (DSHS Region 1 - Clarkston Office of Division of Children and Family Services)",,,,,
6701,21211,"[{""Contact_Id"":752}]",2019/01/31,"[""Active""]","[""Show Service""]","[{""Account_Id"":27,""Name"":""Norma Mendoza <nmendoza@pfp.org>""}]","[{""Account_Id"":27}]","[""GC211""]","Child Protective Services offered by Washington State Department of Children, Youth, and Families in Omak",,,Investigates reports of child abuse and neglect. Assesses reports to determine whether the report meets the legal definition of abuse or neglect and how dangerous the situation is.,509-846-8700,,Daytime Intake,,https://www.dcyf.wa.gov/safety/report-abuse,"[{""Program_Id"":11254,""Name"":""Child Protective Services""}]","[{""Program_Id"":11254}]","[{""Site_Id"":10248,""Name"":""Washington State Department of Children, Youth, and Families in Omak""}]","[{""Site_Id"":10248}]","{""open"":{""Monday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Friday"":[[[8,0],[16,30]]]},""closed"":[]}","[""Saturday"",""Sunday"",""Wednesday"",""Tuesday"",""Thursday"",""Monday"",""Friday""]",,,"M-F, 8am-4:30pm. Intake: 24 hours daily.","[{""taxonomy_code"":""RP-1500.1400-150""},{""taxonomy_code"":""PH-6500.1500""},{""taxonomy_code"":""FT-6940.1500""},{""taxonomy_code"":""FT-3000.1750""}]","[{""scope"":""county"",""county"":""Okanogan"",""state"":""WA""}]","DSHS Region 1 - Omak Office of Division of Children and Family Services, CPS, Omak DCFS, Adoption, (DSHS Region 1 - Omak Office of Division of Children and Family Services)",,,,,
6701,21212,"[{""Contact_Id"":752}]",2018/04/19,"[""Active""]","[""Show Service""]","[{""Account_Id"":27,""Name"":""Norma Mendoza <nmendoza@pfp.org>""}]","[{""Account_Id"":27}]","[""GC211""]","Child Protective Services offered by Washington State Department of Children, Youth, and Families in Wenatchee",,,Investigates reports of child abuse and neglect. Assesses reports to determine whether the report meets the legal definition of abuse or neglect and how dangerous the situation is.,509-665-5300,,Daytime Intake,,https://www.dcyf.wa.gov/safety/report-abuse,"[{""Program_Id"":11254,""Name"":""Child Protective Services""}]","[{""Program_Id"":11254}]","[{""Site_Id"":10249,""Name"":""Washington State Department of Children, Youth, and Families in Wenatchee""}]","[{""Site_Id"":10249}]","{""open"":{""Monday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Friday"":[[[8,0],[16,30]]]},""closed"":[]}","[""Saturday"",""Sunday"",""Wednesday"",""Tuesday"",""Thursday"",""Monday"",""Friday""]",,,"M-F, 8am-4:30pm. Intake: 24 hours daily.","[{""taxonomy_code"":""RP-1500.1400-150""},{""taxonomy_code"":""PH-6500.1500""},{""taxonomy_code"":""FT-6940.1500""},{""taxonomy_code"":""FT-3000.1750""}]","[{""scope"":""county"",""county"":""Chelan"",""state"":""WA""},{""scope"":""county"",""county"":""Douglas"",""state"":""WA""}]","DSHS Region 1 - Wenatchee Office of Division of Children and Family Services, CPS, Foster Care, (DSHS Region 1 - Wenatchee Office of Division of Children and Family Services)",,,,,
6701,21238,"[{""Contact_Id"":752}]",2018/04/19,"[""Active""]","[""Show Service""]","[{""Account_Id"":27,""Name"":""Norma Mendoza <nmendoza@pfp.org>""}]","[{""Account_Id"":27}]","[""GC211""]","Child Protective Services offered by Washington State Department of Children, Youth, and Families in Ellensburg",,,Investigates reports of child abuse and neglect. Assesses reports to determine whether the report meets the legal definition of abuse or neglect and how dangerous the situation is.,509-925-0440,,Daytime Intake,,https://www.dcyf.wa.gov/safety/report-abuse,"[{""Program_Id"":11254,""Name"":""Child Protective Services""}]","[{""Program_Id"":11254}]","[{""Site_Id"":10051,""Name"":""Washington State Department of Children, Youth, and Families in Ellensburg""}]","[{""Site_Id"":10051}]","{""open"":{""Monday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Friday"":[[[8,0],[16,30]]]},""closed"":[]}","[""Saturday"",""Sunday"",""Wednesday"",""Tuesday"",""Thursday"",""Monday"",""Friday""]",,,"M-F, 8am-4:30pm. Intake: 24 hours daily.","[{""taxonomy_code"":""RP-1500.1400-150""},{""taxonomy_code"":""PH-6500.1500""},{""taxonomy_code"":""FT-6940.1500""},{""taxonomy_code"":""FT-3000.1750""}]","[{""scope"":""county"",""county"":""Kittitas"",""state"":""WA""}]","DSHS Region 1 - Ellensburg Office of Division of Children and Family Services, CPS, DCFS Ellensburg, Child Protective Services, (DSHS Region 1 - Ellensburg Office of Division of Children and Family Services)",,,,,
6701,21239,"[{""Contact_Id"":752}]",2022/04/26,"[""Active""]","[""Show Service""]","[{""Account_Id"":27,""Name"":""Norma Mendoza <nmendoza@pfp.org>""}]","[{""Account_Id"":27}]","[""GC211""]","Child Protective Services offered by Washington State Department of Children, Youth, and Families in Tri-Cities",,,Investigates reports of child abuse and neglect. Assesses reports to determine whether the report meets the legal definition of abuse or neglect and how dangerous the situation is.,509-585-3000,,Daytime Intake,,https://www.dcyf.wa.gov/safety/report-abuse,"[{""Program_Id"":11254,""Name"":""Child Protective Services""}]","[{""Program_Id"":11254}]","[{""Site_Id"":10052,""Name"":""Washington State Department of Children, Youth, and Families in Tri-Cities""}]","[{""Site_Id"":10052}]","{""open"":{""Monday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Friday"":[[[8,0],[16,30]]]},""closed"":[]}","[""Saturday"",""Sunday"",""Wednesday"",""Tuesday"",""Thursday"",""Monday"",""Friday""]",,,"M-F, 8am-4:30pm. Intake: 24 hours daily.","[{""taxonomy_code"":""RP-1500.1400-150""},{""taxonomy_code"":""PH-6500.1500""},{""taxonomy_code"":""FT-6940.1500""},{""taxonomy_code"":""FT-3000.1750""}]","[{""scope"":""county"",""county"":""Walla Walla"",""state"":""WA""},{""scope"":""county"",""county"":""Franklin"",""state"":""WA""},{""scope"":""county"",""county"":""Benton"",""state"":""WA""}]","DSHS Region 1 - Richland Office of Division of Children and Family Services, CPS, Richland DCFS, Adoption,  (DSHS Region 1 - Richland Office of Division of Children and Family Services)",,,,,
6701,21247,"[{""Contact_Id"":752}]",2021/12/28,"[""Active""]","[""Show Service""]","[{""Account_Id"":33,""Name"":""Sarah Teague <saraht@uwpc.org>""}]","[{""Account_Id"":33}]","[""SS211""]","Child Welfare Services offered by Washington State Department of Children, Youth, and Families in Tacoma",,,Provides intensive treatment services to keep children and youth safely at home or to more quickly achieve safe reunification or other permanency when children and youth must be placed away from their parents.,888-713-6115,,,,https://www.dcyf.wa.gov/services/child-welfare-system/cps,"[{""Program_Id"":9658,""Name"":""Child Welfare Services""}]","[{""Program_Id"":9658}]","[{""Site_Id"":10066,""Name"":""Washington State Department of Children, Youth, and Families in Tacoma""}]","[{""Site_Id"":10066}]","{""open"":{""Monday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Friday"":[[[8,0],[16,30]]]},""closed"":[]}","[""Wednesday"",""Tuesday"",""Thursday"",""Sunday"",""Saturday"",""Monday"",""Friday""]",,,"M-F, 8am-4:30pm. Intake: 24 hours daily.","[{""taxonomy_code"":""PH-2360.2350""},{""taxonomy_code"":""PH-2360.3300""}]","[{""scope"":""county"",""county"":""Pierce"",""state"":""WA""}]","Washington State Department of Children, Youth, and Families - Child Welfare System - Pierce County, Child and Family Services, Child Welfare Services offered at Washington State Department of Children, Youth, and Families - Tacoma",,,,,
